method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Full-MAML,123,S02,5,0.4875968992248062,0.5551263219741481,0.5095958217337302,0.5623678025851939,,,,,,,
Full-MAML,123,S02,10,0.5149606299212598,0.536021021021021,0.5820671301635718,0.5647147147147147,,,,,,,
Full-MAML,123,S02,20,0.5549180327868852,0.560779014308426,0.6285809297998666,0.5747535771065183,,,,,,,
Full-MAML,123,S06,5,0.4444444444444445,0.493,0.5872327338724281,0.499875,,,,,,,
Full-MAML,123,S06,10,0.5537037037037037,0.48875,0.6979624522869166,0.50375,,,,,,,
Full-MAML,123,S06,20,0.5972222222222222,0.518,0.7337578664192727,0.5527500000000002,,,,,,,
Full-MAML,123,S07,5,0.463963963963964,0.5896464646464645,0.5759399172382114,0.6872053872053872,,,,,,,
Full-MAML,123,S07,10,0.5807339449541284,0.5928264604810997,0.7075191283333916,0.6709621993127148,,,,,,,
Full-MAML,123,S07,20,0.576923076923077,0.605072463768116,0.7017177543638495,0.6864130434782608,,,,,,,
Full-MAML,123,S11,5,0.6105,0.6105,0.658095630849273,0.66344,,,,,,,
Full-MAML,123,S11,10,0.5940397350993377,0.6185588235294118,0.6362492377953852,0.6655098039215687,,,,,,,
Full-MAML,123,S11,20,0.6185430463576159,0.6115980392156863,0.6858322365587697,0.6567450980392155,,,,,,,
Full-MAML,123,S12,5,0.4390625,0.5556763285024154,0.44801384470195743,0.5689613526570049,,,,,,,
Full-MAML,123,S12,10,0.4999999999999999,0.567829457364341,0.46008355742340656,0.5968992248062015,,,,,,,
Full-MAML,123,S12,20,0.5285714285714286,0.5473684210526315,0.4462786169718081,0.5842105263157895,,,,,,,
Full-MAML,123,S13,5,0.5984999999999999,0.5984999999999999,0.6307503114484434,0.64078,,,,,,,
Full-MAML,123,S13,10,0.599,0.599,0.6377429118835147,0.63229,,,,,,,
Full-MAML,123,S13,20,0.5835,0.5835,0.614880028803637,0.61885,,,,,,,
Full-MAML,123,S14,5,0.5589999999999999,0.5589999999999999,0.5834726248925249,0.5836499999999999,,,,,,,
Full-MAML,123,S14,10,0.5885,0.5885,0.606544081408136,0.61619,,,,,,,
Full-MAML,123,S14,20,0.5785,0.5785,0.5847353424355957,0.6106900000000001,,,,,,,
Full-MAML,123,S16,5,0.47619047619047616,0.5309893617021277,0.4864004114704019,0.5621489361702128,,,,,,,
Full-MAML,123,S16,10,0.48979591836734687,0.5291489361702127,0.5236545935370487,0.5543404255319149,,,,,,,
Full-MAML,123,S16,20,0.4923076923076922,0.5035017730496454,0.5520446402525736,0.525709219858156,,,,,,,
Full-MAML,123,S17,5,0.5680000000000001,0.6130000000000001,0.5892282018897411,0.68274,,,,,,,
Full-MAML,123,S17,10,0.6200000000000001,0.6385000000000001,0.6687616946538185,0.71226,,,,,,,
Full-MAML,123,S17,20,0.6253333333333334,0.636,0.6804256149886999,0.70456,,,,,,,
Full-MAML,123,S18,5,0.4290909090909091,0.5030052264808362,0.47005598531310006,0.5179442508710801,,,,,,,
Full-MAML,123,S18,10,0.44953271028037384,0.5130877034358046,0.4956527280749515,0.5304249547920434,,,,,,,
Full-MAML,123,S18,20,0.4617647058823529,0.5047297297297296,0.5192201309147844,0.5157818532818532,,,,,,,
Full-MAML,123,S20,5,0.4651162790697675,0.5961904761904762,0.48521897069500514,0.6329670329670332,,,,,,,
Full-MAML,123,S20,10,0.5488095238095237,0.588095238095238,0.6245284879863007,0.6065759637188208,,,,,,,
Full-MAML,123,S20,20,0.5683544303797468,0.5936371100164204,0.6405468615538563,0.6220032840722497,,,,,,,
Full-MAML,123,S21,5,0.7482758620689656,0.8185185185185185,0.8423984073535069,0.9074074074074074,,,,,,,
Full-MAML,123,S21,10,0.7925925925925925,0.796,0.8726977959854926,0.9040000000000001,,,,,,,
Full-MAML,123,S21,20,0.7772727272727271,0.8100000000000002,0.8600963989199284,0.9175000000000001,,,,,,,
Full-MAML,123,S22,5,0.484,0.530952380952381,0.5707032314189102,0.5857142857142856,,,,,,,
Full-MAML,123,S22,10,0.5869565217391305,0.5328947368421052,0.6928219932515598,0.5447368421052632,,,,,,,
Full-MAML,123,S22,20,0.6944444444444444,0.5803571428571428,0.7914220032840722,0.5428571428571429,,,,,,,
Full-MAML,123,S23,5,0.5305,0.5305,0.6023564399582674,0.56518,,,,,,,
Full-MAML,123,S23,10,0.5450000000000002,0.5449999999999999,0.5852215658430701,0.5652800000000001,,,,,,,
Full-MAML,123,S23,20,0.5503225806451614,0.5557727272727273,0.6039865427074307,0.573690909090909,,,,,,,
Full-MAML,123,S24,5,0.4871428571428572,0.5742499999999999,0.501272353257594,0.648525,,,,,,,
Full-MAML,123,S24,10,0.5314285714285714,0.576,0.5861487985996466,0.6278250000000001,,,,,,,
Full-MAML,123,S24,20,0.5921428571428571,0.593,0.667895469976939,0.6474499999999999,,,,,,,
Full-MAML,123,S26,5,0.435576923076923,0.5176909944515578,0.4089790262885983,0.5444728979940248,,,,,,,
Full-MAML,123,S26,10,0.4980392156862745,0.5372859025032939,0.532199499483234,0.5508124725516029,,,,,,,
Full-MAML,123,S26,20,0.5051546391752577,0.5141808712121213,0.5598487593609247,0.5043087121212121,,,,,,,
