method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
MAML-ANIL-Uniform,123,S02,5,0.44883720930232557,0.5255287896592244,0.4719045590169528,0.5324030552291421,,,,,,,
MAML-ANIL-Uniform,123,S02,10,0.4708661417322834,0.5375375375375376,0.5029489351801166,0.5296396396396397,,,,,,,
MAML-ANIL-Uniform,123,S02,20,0.5188524590163934,0.5585532591414943,0.5688939896989995,0.5403815580286169,,,,,,,
MAML-ANIL-Uniform,123,S06,5,0.412962962962963,0.476,0.5560419422377503,0.49012500000000003,,,,,,,
MAML-ANIL-Uniform,123,S06,10,0.525,0.45600000000000007,0.6749506289881577,0.5021249999999999,,,,,,,
MAML-ANIL-Uniform,123,S06,20,0.600925925925926,0.45675,0.7421458600960966,0.49987499999999996,,,,,,,
MAML-ANIL-Uniform,123,S07,5,0.32972972972972975,0.5656565656565656,0.4078841242124411,0.6688552188552188,,,,,,,
MAML-ANIL-Uniform,123,S07,10,0.4623853211009175,0.5847508591065292,0.581042114188287,0.6487972508591066,,,,,,,
MAML-ANIL-Uniform,123,S07,20,0.5682692307692307,0.6001811594202898,0.6949854105023541,0.659963768115942,,,,,,,
MAML-ANIL-Uniform,123,S11,5,0.611,0.611,0.6429033196999389,0.68016,,,,,,,
MAML-ANIL-Uniform,123,S11,10,0.5052980132450331,0.5928725490196078,0.4628763396740651,0.6826078431372549,,,,,,,
MAML-ANIL-Uniform,123,S11,20,0.5311258278145695,0.6013235294117647,0.5202563292649693,0.666235294117647,,,,,,,
MAML-ANIL-Uniform,123,S12,5,0.3875,0.5519323671497582,0.459805729270518,0.566304347826087,,,,,,,
MAML-ANIL-Uniform,123,S12,10,0.44918032786885237,0.5818475452196383,0.49191645243936455,0.5837209302325581,,,,,,,
MAML-ANIL-Uniform,123,S12,20,0.47142857142857136,0.565204678362573,0.5013691380690986,0.5846491228070175,,,,,,,
MAML-ANIL-Uniform,123,S13,5,0.5995,0.5995,0.6151153029015569,0.6335000000000001,,,,,,,
MAML-ANIL-Uniform,123,S13,10,0.5894999999999999,0.5894999999999999,0.6398418781910428,0.6178999999999999,,,,,,,
MAML-ANIL-Uniform,123,S13,20,0.5885,0.5885,0.6260109869217868,0.6113999999999999,,,,,,,
MAML-ANIL-Uniform,123,S14,5,0.5365,0.5365,0.5604856251164316,0.5645,,,,,,,
MAML-ANIL-Uniform,123,S14,10,0.5505,0.5505,0.5843548198179832,0.5860799999999999,,,,,,,
MAML-ANIL-Uniform,123,S14,20,0.546,0.546,0.5773855209584713,0.5852600000000001,,,,,,,
MAML-ANIL-Uniform,123,S16,5,0.42653061224489797,0.5114042553191489,0.3947810376969302,0.5397446808510639,,,,,,,
MAML-ANIL-Uniform,123,S16,10,0.4442176870748299,0.511436170212766,0.4423753193761245,0.533468085106383,,,,,,,
MAML-ANIL-Uniform,123,S16,20,0.44125874125874126,0.4828568262411347,0.46366482953735516,0.5074689716312057,,,,,,,
MAML-ANIL-Uniform,123,S17,5,0.4746666666666666,0.5700000000000001,0.4174064832688262,0.6565399999999999,,,,,,,
MAML-ANIL-Uniform,123,S17,10,0.4913333333333333,0.5825000000000001,0.44678053939941853,0.68194,,,,,,,
MAML-ANIL-Uniform,123,S17,20,0.5233333333333333,0.597,0.5107119827129847,0.68532,,,,,,,
MAML-ANIL-Uniform,123,S18,5,0.3681818181818183,0.5127177700348433,0.33784612358156724,0.5399390243902439,,,,,,,
MAML-ANIL-Uniform,123,S18,10,0.4009345794392523,0.5136075949367088,0.40440479231206317,0.5400542495479204,,,,,,,
MAML-ANIL-Uniform,123,S18,20,0.4421568627450981,0.5278474903474903,0.4673784371451434,0.5402509652509654,,,,,,,
MAML-ANIL-Uniform,123,S20,5,0.4127906976744186,0.5986446886446887,0.3756719275581098,0.6407326007326009,,,,,,,
MAML-ANIL-Uniform,123,S20,10,0.4726190476190476,0.6071428571428572,0.4893750479340597,0.6139077853363568,,,,,,,
MAML-ANIL-Uniform,123,S20,20,0.5379746835443038,0.6124384236453201,0.5864432982163045,0.6136288998357964,,,,,,,
MAML-ANIL-Uniform,123,S21,5,0.7827586206896552,0.837037037037037,0.8676211507160325,0.9055555555555556,,,,,,,
MAML-ANIL-Uniform,123,S21,10,0.774074074074074,0.8089999999999999,0.8608951194535479,0.8960000000000001,,,,,,,
MAML-ANIL-Uniform,123,S21,20,0.7636363636363636,0.8474999999999999,0.8488940862779872,0.8899999999999999,,,,,,,
MAML-ANIL-Uniform,123,S22,5,0.44800000000000006,0.5095238095238095,0.5408833309754307,0.5583333333333333,,,,,,,
MAML-ANIL-Uniform,123,S22,10,0.6304347826086956,0.5888157894736843,0.7332764157178419,0.5355263157894736,,,,,,,
MAML-ANIL-Uniform,123,S22,20,0.7277777777777779,0.5928571428571429,0.8258675424192665,0.5321428571428571,,,,,,,
MAML-ANIL-Uniform,123,S23,5,0.5479999999999999,0.5479999999999999,0.6047690691333698,0.57238,,,,,,,
MAML-ANIL-Uniform,123,S23,10,0.5505000000000001,0.5505000000000001,0.5913210990577032,0.57409,,,,,,,
MAML-ANIL-Uniform,123,S23,20,0.4941935483870967,0.5523636363636364,0.4726599048529533,0.5934727272727273,,,,,,,
MAML-ANIL-Uniform,123,S24,5,0.4371428571428571,0.5624999999999999,0.4054699372080427,0.6237,,,,,,,
MAML-ANIL-Uniform,123,S24,10,0.44857142857142857,0.5435,0.4532966323206223,0.59855,,,,,,,
MAML-ANIL-Uniform,123,S24,20,0.4957142857142857,0.56525,0.5308688527045202,0.6170000000000001,,,,,,,
MAML-ANIL-Uniform,123,S26,5,0.37403846153846154,0.5066794707639779,0.23752751887963924,0.5427230046948357,,,,,,,
MAML-ANIL-Uniform,123,S26,10,0.3941176470588236,0.5031620553359684,0.30027795623283554,0.5559947299077733,,,,,,,
MAML-ANIL-Uniform,123,S26,20,0.43814432989690716,0.5022964015151514,0.4091682749566787,0.5019886363636364,,,,,,,
