method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
MAML-ANIL,42,S02,5,0.5201550387596899,0.5076674500587545,0.6109146045902691,0.5259400705052879,,,,,,,
MAML-ANIL,42,S02,10,0.5118110236220472,0.49560060060060057,0.6024935693927648,0.5027327327327327,,,,,,,
MAML-ANIL,42,S02,20,0.5221311475409836,0.5036724960254372,0.614747679537943,0.5277901430842606,,,,,,,
MAML-ANIL,42,S06,5,0.6148148148148148,0.5735,0.7461471949498462,0.5748750000000001,,,,,,,
MAML-ANIL,42,S06,10,0.6027777777777779,0.544,0.7374963558143239,0.55625,,,,,,,
MAML-ANIL,42,S06,20,0.6018518518518519,0.56075,0.735651133204499,0.56025,,,,,,,
MAML-ANIL,42,S07,5,0.627927927927928,0.601010101010101,0.7457750184905287,0.6626262626262627,,,,,,,
MAML-ANIL,42,S07,10,0.6201834862385321,0.6076890034364262,0.7435869542258138,0.6678694158075602,,,,,,,
MAML-ANIL,42,S07,20,0.6615384615384616,0.6021739130434783,0.7753220349764247,0.6714673913043477,,,,,,,
MAML-ANIL,42,S11,5,0.625,0.625,0.6425839092027479,0.66422,,,,,,,
MAML-ANIL,42,S11,10,0.6139072847682119,0.6076176470588235,0.679888453125683,0.651,,,,,,,
MAML-ANIL,42,S11,20,0.6450331125827814,0.6344803921568627,0.7131038959035807,0.6633333333333333,,,,,,,
MAML-ANIL,42,S12,5,0.5203125,0.5631642512077295,0.4330251478614134,0.5438405797101449,,,,,,,
MAML-ANIL,42,S12,10,0.5016393442622951,0.5512273901808786,0.44322560958559276,0.5456072351421188,,,,,,,
MAML-ANIL,42,S12,20,0.5232142857142856,0.5492690058479531,0.4559876489602933,0.5635964912280702,,,,,,,
MAML-ANIL,42,S13,5,0.6005,0.6005,0.6131261081998837,0.64597,,,,,,,
MAML-ANIL,42,S13,10,0.6210000000000001,0.6210000000000001,0.6344490479995833,0.64496,,,,,,,
MAML-ANIL,42,S13,20,0.6215,0.6215,0.6306759298644695,0.63553,,,,,,,
MAML-ANIL,42,S14,5,0.543,0.543,0.5224252556537233,0.57191,,,,,,,
MAML-ANIL,42,S14,10,0.544,0.5439999999999999,0.5555675991925725,0.5707600000000002,,,,,,,
MAML-ANIL,42,S14,20,0.5245,0.5245,0.5659594710999004,0.55718,,,,,,,
MAML-ANIL,42,S16,5,0.5666666666666667,0.5467446808510639,0.6524114413160642,0.5673404255319149,,,,,,,
MAML-ANIL,42,S16,10,0.5312925170068028,0.5173617021276596,0.6133188610978317,0.5397659574468086,,,,,,,
MAML-ANIL,42,S16,20,0.5482517482517483,0.5435394503546099,0.6227203893094713,0.5701241134751773,,,,,,,
MAML-ANIL,42,S17,5,0.65,0.6305000000000001,0.7226320521981765,0.65384,,,,,,,
MAML-ANIL,42,S17,10,0.6453333333333333,0.6210000000000001,0.7208751699775543,0.6535,,,,,,,
MAML-ANIL,42,S17,20,0.6346666666666666,0.629,0.7009692134717757,0.6599999999999999,,,,,,,
MAML-ANIL,42,S18,5,0.5872727272727272,0.5726480836236933,0.672216276399451,0.5850174216027875,,,,,,,
MAML-ANIL,42,S18,10,0.5682242990654205,0.5473553345388789,0.6685382313165963,0.5551537070524412,,,,,,,
MAML-ANIL,42,S18,20,0.5970588235294118,0.5924227799227799,0.6828989834842115,0.5967181467181467,,,,,,,
MAML-ANIL,42,S20,5,0.5406976744186047,0.5333699633699633,0.6385237480076558,0.5473992673992674,,,,,,,
MAML-ANIL,42,S20,10,0.5297619047619048,0.5658730158730159,0.6068599037990947,0.5766439909297052,,,,,,,
MAML-ANIL,42,S20,20,0.5164556962025316,0.5263957307060755,0.603136358535729,0.5400656814449919,,,,,,,
MAML-ANIL,42,S21,5,0.7344827586206897,0.8574074074074074,0.8240622847250846,0.9314814814814815,,,,,,,
MAML-ANIL,42,S21,10,0.662962962962963,0.818,0.7717702606535934,0.9119999999999999,,,,,,,
MAML-ANIL,42,S21,20,0.7272727272727273,0.85,0.8181640980829622,0.9399999999999998,,,,,,,
MAML-ANIL,42,S22,5,0.6479999999999999,0.6386904761904761,0.7455471242377533,0.6785714285714286,,,,,,,
MAML-ANIL,42,S22,10,0.6782608695652174,0.7559210526315788,0.7567519118449073,0.7789473684210526,,,,,,,
MAML-ANIL,42,S22,20,0.7333333333333334,0.7125,0.8075791335101681,0.7125,,,,,,,
MAML-ANIL,42,S23,5,0.5325,0.5325,0.5661485988303251,0.55799,,,,,,,
MAML-ANIL,42,S23,10,0.54,0.54,0.5647660704801389,0.55991,,,,,,,
MAML-ANIL,42,S23,20,0.5761290322580646,0.5459090909090909,0.6625922395968724,0.5584545454545455,,,,,,,
MAML-ANIL,42,S24,5,0.6342857142857142,0.624,0.7081539454311534,0.6758000000000001,,,,,,,
MAML-ANIL,42,S24,10,0.6292857142857142,0.607,0.7143976718355336,0.651175,,,,,,,
MAML-ANIL,42,S24,20,0.627142857142857,0.6107500000000001,0.7105454072714944,0.667,,,,,,,
MAML-ANIL,42,S26,5,0.4875,0.5176056338028168,0.5346455208108776,0.5314127187366624,,,,,,,
MAML-ANIL,42,S26,10,0.5666666666666667,0.5635046113306983,0.6377291784884965,0.5509003074220465,,,,,,,
MAML-ANIL,42,S26,20,0.5350515463917526,0.5419744318181817,0.593319288209961,0.5421401515151516,,,,,,,
