method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Full-MAML-Raw,42,S02,5,0.5565891472868216,0.5986486486486486,0.6152275242287859,0.6496180963572267,,,,,,,
Full-MAML-Raw,42,S02,10,0.5574803149606299,0.5747747747747748,0.6296679747314273,0.6108408408408408,,,,,,,
Full-MAML-Raw,42,S02,20,0.5795081967213115,0.5883465818759935,0.6513332930960172,0.6444515103338633,,,,,,,
Full-MAML-Raw,42,S06,5,0.5583333333333333,0.46825,0.7045282314614536,0.43862500000000004,,,,,,,
Full-MAML-Raw,42,S06,10,0.5907407407407408,0.46274999999999994,0.7325192651309275,0.4796250000000001,,,,,,,
Full-MAML-Raw,42,S06,20,0.6194444444444445,0.461,0.7573476793790433,0.46425,,,,,,,
Full-MAML-Raw,42,S07,5,0.6261261261261262,0.6732323232323233,0.7415379839550849,0.7397306397306397,,,,,,,
Full-MAML-Raw,42,S07,10,0.701834862385321,0.6937285223367697,0.8060742410505035,0.7474226804123711,,,,,,,
Full-MAML-Raw,42,S07,20,0.7528846153846154,0.7153985507246376,0.8442398534497405,0.7597826086956523,,,,,,,
Full-MAML-Raw,42,S11,5,0.6079999999999999,0.6079999999999999,0.6538057685958443,0.6581600000000001,,,,,,,
Full-MAML-Raw,42,S11,10,0.5807947019867549,0.613843137254902,0.6161336057743142,0.6646274509803921,,,,,,,
Full-MAML-Raw,42,S11,20,0.5860927152317881,0.5995882352941176,0.6400764753918904,0.6613725490196078,,,,,,,
Full-MAML-Raw,42,S12,5,0.4390625,0.5708937198067633,0.4658767353375379,0.5964975845410627,,,,,,,
Full-MAML-Raw,42,S12,10,0.49344262295081964,0.592248062015504,0.49213483673312475,0.6209302325581395,,,,,,,
Full-MAML-Raw,42,S12,20,0.5142857142857143,0.5953216374269005,0.521750849776909,0.6346491228070177,,,,,,,
Full-MAML-Raw,42,S13,5,0.634,0.634,0.6764764739149752,0.69669,,,,,,,
Full-MAML-Raw,42,S13,10,0.6465,0.6465,0.6792572794470348,0.70659,,,,,,,
Full-MAML-Raw,42,S13,20,0.646,0.646,0.6841274241464796,0.70437,,,,,,,
Full-MAML-Raw,42,S14,5,0.5479999999999999,0.5479999999999999,0.6163955534184355,0.5566549999999999,,,,,,,
Full-MAML-Raw,42,S14,10,0.5489999999999999,0.5489999999999999,0.6001784991958208,0.56959,,,,,,,
Full-MAML-Raw,42,S14,20,0.5385000000000001,0.5385000000000001,0.5942428254387446,0.5670400000000001,,,,,,,
Full-MAML-Raw,42,S16,5,0.5551020408163265,0.5743297872340425,0.6115059993623929,0.5976382978723404,,,,,,,
Full-MAML-Raw,42,S16,10,0.5700680272108845,0.5881489361702127,0.6285000251168154,0.6073617021276596,,,,,,,
Full-MAML-Raw,42,S16,20,0.586013986013986,0.5792664007092199,0.6599726456039252,0.6090647163120567,,,,,,,
Full-MAML-Raw,42,S17,5,0.5726666666666667,0.6,0.6165728799651244,0.6598400000000001,,,,,,,
Full-MAML-Raw,42,S17,10,0.5726666666666667,0.5994999999999999,0.6159220465577621,0.66358,,,,,,,
Full-MAML-Raw,42,S17,20,0.6066666666666667,0.615,0.6642971973211343,0.6662800000000001,,,,,,,
Full-MAML-Raw,42,S18,5,0.5309090909090909,0.5818815331010452,0.600988277344418,0.6043989547038328,,,,,,,
Full-MAML-Raw,42,S18,10,0.5542056074766355,0.574751356238698,0.6349250034524362,0.6011301989150091,,,,,,,
Full-MAML-Raw,42,S18,20,0.5754901960784313,0.5675675675675675,0.6646977363865636,0.6033783783783784,,,,,,,
Full-MAML-Raw,42,S20,5,0.5255813953488373,0.5717216117216116,0.6010624430099403,0.6555311355311356,,,,,,,
Full-MAML-Raw,42,S20,10,0.5476190476190477,0.5714285714285714,0.6301734894376907,0.6475434618291761,,,,,,,
Full-MAML-Raw,42,S20,20,0.5582278481012658,0.5411740558292283,0.6541479158698906,0.6142857142857142,,,,,,,
Full-MAML-Raw,42,S21,5,0.5896551724137932,0.7564814814814814,0.7161020272730796,0.7833333333333332,,,,,,,
Full-MAML-Raw,42,S21,10,0.674074074074074,0.778,0.7838153171814776,0.8,,,,,,,
Full-MAML-Raw,42,S21,20,0.6272727272727272,0.6375,0.7449908446528057,0.7475000000000002,,,,,,,
Full-MAML-Raw,42,S22,5,0.6839999999999999,0.5791666666666666,0.7927086035237512,0.4738095238095238,,,,,,,
Full-MAML-Raw,42,S22,10,0.7217391304347827,0.6243421052631579,0.8201642519289578,0.5092105263157896,,,,,,,
Full-MAML-Raw,42,S22,20,0.6944444444444445,0.5892857142857142,0.7955312899106002,0.5285714285714286,,,,,,,
Full-MAML-Raw,42,S23,5,0.6120000000000001,0.6120000000000001,0.6713089843966911,0.6565000000000001,,,,,,,
Full-MAML-Raw,42,S23,10,0.612,0.612,0.6475276061386086,0.6585549999999999,,,,,,,
Full-MAML-Raw,42,S23,20,0.5716129032258065,0.5955909090909091,0.6055215089823806,0.662909090909091,,,,,,,
Full-MAML-Raw,42,S24,5,0.5071428571428572,0.5890000000000001,0.5335656835141089,0.635575,,,,,,,
Full-MAML-Raw,42,S24,10,0.5335714285714286,0.5752499999999999,0.593289913828721,0.619225,,,,,,,
Full-MAML-Raw,42,S24,20,0.5728571428571427,0.5742499999999999,0.6553874701480591,0.6155,,,,,,,
Full-MAML-Raw,42,S26,5,0.4778846153846154,0.5324583866837387,0.49903669922960636,0.530089628681178,,,,,,,
Full-MAML-Raw,42,S26,10,0.49607843137254903,0.5176548089591568,0.5490849401587671,0.5080808080808081,,,,,,,
Full-MAML-Raw,42,S26,20,0.5391752577319587,0.5443655303030303,0.6009945144791842,0.5380208333333334,,,,,,,
