method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
SubjectConditioned-Raw,42,S02,5,0.6356589147286822,0.598340188014101,0.7268938268592777,0.6215334900117508,,,,,,,
SubjectConditioned-Raw,42,S02,10,0.6173228346456693,0.5867567567567568,0.6948430521956255,0.612042042042042,,,,,,,
SubjectConditioned-Raw,42,S02,20,0.6278688524590164,0.5795548489666137,0.7241981955708949,0.6135135135135135,,,,,,,
SubjectConditioned-Raw,42,S06,5,0.5490740740740742,0.53225,0.6758953750228883,0.578875,,,,,,,
SubjectConditioned-Raw,42,S06,10,0.537962962962963,0.54925,0.6676744402428588,0.61025,,,,,,,
SubjectConditioned-Raw,42,S06,20,0.5916666666666666,0.5725,0.7271835542152715,0.587125,,,,,,,
SubjectConditioned-Raw,42,S07,5,0.6432432432432432,0.5912878787878788,0.7643073380473695,0.6225589225589226,,,,,,,
SubjectConditioned-Raw,42,S07,10,0.6412844036697248,0.5720790378006874,0.7591922459195026,0.6146907216494846,,,,,,,
SubjectConditioned-Raw,42,S07,20,0.6624999999999999,0.533876811594203,0.7835853159276537,0.5969202898550725,,,,,,,
SubjectConditioned-Raw,42,S11,5,0.5875,0.5875000000000001,0.5922915592621447,0.6295400000000001,,,,,,,
SubjectConditioned-Raw,42,S11,10,0.6172185430463577,0.6043529411764706,0.6872666168723753,0.6352156862745097,,,,,,,
SubjectConditioned-Raw,42,S11,20,0.6225165562913908,0.6025882352941176,0.6981471277526483,0.6314313725490196,,,,,,,
SubjectConditioned-Raw,42,S12,5,0.471875,0.5497584541062801,0.4336629112488787,0.5772946859903382,,,,,,,
SubjectConditioned-Raw,42,S12,10,0.5016393442622951,0.5528423772609818,0.44286676314097057,0.5751937984496124,,,,,,,
SubjectConditioned-Raw,42,S12,20,0.4732142857142857,0.5211988304093567,0.4407808027356822,0.5641812865497076,,,,,,,
SubjectConditioned-Raw,42,S13,5,0.618,0.618,0.5918462426762658,0.6603100000000001,,,,,,,
SubjectConditioned-Raw,42,S13,10,0.619,0.619,0.6186637848766782,0.6723100000000001,,,,,,,
SubjectConditioned-Raw,42,S13,20,0.6325000000000001,0.6325,0.6349063678969353,0.6697299999999999,,,,,,,
SubjectConditioned-Raw,42,S14,5,0.5399999999999999,0.5399999999999999,0.5649988042621135,0.5612649999999999,,,,,,,
SubjectConditioned-Raw,42,S14,10,0.5325,0.5325,0.5630292929493074,0.5434749999999999,,,,,,,
SubjectConditioned-Raw,42,S14,20,0.542,0.542,0.506490722968791,0.5662499999999999,,,,,,,
SubjectConditioned-Raw,42,S16,5,0.5340136054421769,0.5210531914893617,0.5805275862996344,0.5547872340425531,,,,,,,
SubjectConditioned-Raw,42,S16,10,0.6047619047619047,0.564595744680851,0.6985813022549628,0.5954255319148937,,,,,,,
SubjectConditioned-Raw,42,S16,20,0.6034965034965035,0.5662234042553191,0.6955145628042578,0.5965868794326241,,,,,,,
SubjectConditioned-Raw,42,S17,5,0.6793333333333333,0.666,0.7446924676498171,0.7376100000000001,,,,,,,
SubjectConditioned-Raw,42,S17,10,0.6566666666666666,0.6425,0.7259840602097893,0.7106199999999999,,,,,,,
SubjectConditioned-Raw,42,S17,20,0.6733333333333333,0.6635,0.7384072161418629,0.7243999999999999,,,,,,,
SubjectConditioned-Raw,42,S18,5,0.5163636363636364,0.5109756097560976,0.6130134977270425,0.5193815331010453,,,,,,,
SubjectConditioned-Raw,42,S18,10,0.525233644859813,0.5101717902350813,0.6266952547443965,0.5174502712477397,,,,,,,
SubjectConditioned-Raw,42,S18,20,0.5225490196078431,0.5011100386100386,0.6205609527750691,0.5135135135135135,,,,,,,
SubjectConditioned-Raw,42,S20,5,0.4790697674418604,0.5135531135531135,0.5578479478165302,0.5408791208791209,,,,,,,
SubjectConditioned-Raw,42,S20,10,0.4440476190476191,0.4801587301587301,0.5003590143838201,0.5132275132275133,,,,,,,
SubjectConditioned-Raw,42,S20,20,0.44556962025316454,0.5358374384236453,0.45195433871151947,0.5671592775041051,,,,,,,
SubjectConditioned-Raw,42,S21,5,0.6344827586206897,0.711111111111111,0.7556769162084336,0.7574074074074073,,,,,,,
