method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
SubjectConditioned,456,S02,5,0.5906976744186047,0.5708578143360752,0.6771513307871396,0.5804054054054053,,,,,,,
SubjectConditioned,456,S02,10,0.5511811023622047,0.5504354354354355,0.6304488223260749,0.5574174174174175,,,,,,,
SubjectConditioned,456,S02,20,0.5434426229508198,0.5403338632750398,0.6242015927068728,0.5329411764705883,,,,,,,
SubjectConditioned,456,S06,5,0.6296296296296297,0.55275,0.7597639676079752,0.5578749999999999,,,,,,,
SubjectConditioned,456,S06,10,0.562962962962963,0.52825,0.7062763896138953,0.533625,,,,,,,
SubjectConditioned,456,S06,20,0.5824074074074075,0.58475,0.7177068515873606,0.5994999999999999,,,,,,,
SubjectConditioned,456,S07,5,0.6099099099099099,0.5579545454545455,0.7362067656108229,0.5973905723905724,,,,,,,
SubjectConditioned,456,S07,10,0.5678899082568808,0.5710051546391752,0.6988963245493981,0.6084192439862542,,,,,,,
SubjectConditioned,456,S07,20,0.5721153846153847,0.5516304347826086,0.7024228443056252,0.6013586956521738,,,,,,,
SubjectConditioned,456,S11,5,0.623,0.623,0.6194480557558002,0.69391,,,,,,,
SubjectConditioned,456,S11,10,0.6158940397350993,0.6273725490196079,0.670765438019612,0.6913529411764706,,,,,,,
SubjectConditioned,456,S11,20,0.6245033112582782,0.6305098039215686,0.6833418731192089,0.6953529411764706,,,,,,,
SubjectConditioned,456,S12,5,0.5203125,0.5986714975845412,0.47598143517068625,0.5972222222222223,,,,,,,
SubjectConditioned,456,S12,10,0.49344262295081964,0.5890180878552971,0.4888699726043231,0.57687338501292,,,,,,,
SubjectConditioned,456,S12,20,0.5303571428571429,0.6027777777777777,0.5231354839655304,0.5869883040935673,,,,,,,
SubjectConditioned,456,S13,5,0.5925,0.5925,0.62785699455014,0.63512,,,,,,,
SubjectConditioned,456,S13,10,0.6014999999999999,0.6014999999999999,0.6190093128555268,0.6334500000000001,,,,,,,
SubjectConditioned,456,S13,20,0.6125,0.6125,0.6238947796489489,0.63978,,,,,,,
SubjectConditioned,456,S14,5,0.5445,0.5445,0.6022862591346732,0.5755700000000001,,,,,,,
SubjectConditioned,456,S14,10,0.5504999999999999,0.5504999999999999,0.589343826712171,0.5818,,,,,,,
SubjectConditioned,456,S14,20,0.5455,0.5454999999999999,0.5897962876763259,0.57774,,,,,,,
SubjectConditioned,456,S16,5,0.5870748299319728,0.5279148936170213,0.6947323568829213,0.5475531914893617,,,,,,,
SubjectConditioned,456,S16,10,0.5748299319727892,0.5200425531914894,0.6822117344603023,0.5368297872340425,,,,,,,
SubjectConditioned,456,S16,20,0.5741258741258741,0.5291445035460993,0.6739847157821387,0.5320700354609929,,,,,,,
SubjectConditioned,456,S17,5,0.63,0.634,0.6907437740645812,0.69794,,,,,,,
SubjectConditioned,456,S17,10,0.6206666666666667,0.6205,0.6850360292844764,0.68368,,,,,,,
SubjectConditioned,456,S17,20,0.6,0.603,0.6633167025298985,0.6601600000000001,,,,,,,
SubjectConditioned,456,S18,5,0.5045454545454545,0.5324477351916376,0.5851031543588281,0.5388501742160278,,,,,,,
SubjectConditioned,456,S18,10,0.5205607476635514,0.5519665461121157,0.5975926429317409,0.5625678119349005,,,,,,,
SubjectConditioned,456,S18,20,0.5519607843137255,0.572442084942085,0.6303348994741572,0.5739864864864865,,,,,,,
SubjectConditioned,456,S20,5,0.5825581395348837,0.569120879120879,0.6799445749834391,0.5821978021978022,,,,,,,
SubjectConditioned,456,S20,10,0.5797619047619047,0.5642857142857143,0.6747722174739981,0.5681027966742254,,,,,,,
SubjectConditioned,456,S20,20,0.5772151898734177,0.566256157635468,0.6690613541481059,0.5952380952380952,,,,,,,
SubjectConditioned,456,S21,5,0.6068965517241379,0.7657407407407406,0.7319601424987502,0.7333333333333333,,,,,,,
SubjectConditioned,456,S21,10,0.6444444444444445,0.808,0.7582114921722557,0.8719999999999999,,,,,,,
SubjectConditioned,456,S21,20,0.6681818181818182,0.8175000000000001,0.7751082251082251,0.785,,,,,,,
SubjectConditioned,456,S22,5,0.6040000000000001,0.5517857142857142,0.7250247495139137,0.669047619047619,,,,,,,
SubjectConditioned,456,S22,10,0.6521739130434783,0.5723684210526315,0.7654085358226225,0.6578947368421052,,,,,,,
SubjectConditioned,456,S22,20,0.611111111111111,0.6071428571428571,0.7071884411884412,0.6625,,,,,,,
SubjectConditioned,456,S23,5,0.522,0.522,0.5448297706588682,0.54408,,,,,,,
SubjectConditioned,456,S23,10,0.537,0.537,0.5863118697770618,0.56186,,,,,,,
SubjectConditioned,456,S23,20,0.5535483870967742,0.5214545454545454,0.6456750354890158,0.5490363636363637,,,,,,,
SubjectConditioned,456,S24,5,0.6107142857142855,0.58275,0.7031189360407419,0.616525,,,,,,,
SubjectConditioned,456,S24,10,0.607142857142857,0.5825,0.6984484844306071,0.623775,,,,,,,
SubjectConditioned,456,S24,20,0.6142857142857142,0.589,0.7055062062445939,0.6274000000000001,,,,,,,
SubjectConditioned,456,S26,5,0.5346153846153846,0.5342723004694836,0.6082123000565887,0.5732821169440888,,,,,,,
SubjectConditioned,456,S26,10,0.5607843137254902,0.5559947299077734,0.6355151146794918,0.5754062362758015,,,,,,,
SubjectConditioned,456,S26,20,0.5690721649484536,0.5545454545454545,0.6461150199299107,0.5705492424242424,,,,,,,
