method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
SubjectConditioned,123,S02,5,0.5488372093023257,0.5301997649823738,0.6404877910016711,0.5871915393654523,,,,,,,
SubjectConditioned,123,S02,10,0.5708661417322834,0.5332882882882883,0.6704394059333194,0.5704204204204205,,,,,,,
SubjectConditioned,123,S02,20,0.5467213114754099,0.543449920508744,0.6255306287403772,0.601558028616852,,,,,,,
SubjectConditioned,123,S06,5,0.6425925925925926,0.6,0.7692653953555191,0.61125,,,,,,,
SubjectConditioned,123,S06,10,0.6509259259259259,0.6102500000000001,0.7767680843749121,0.62975,,,,,,,
SubjectConditioned,123,S06,20,0.6129629629629629,0.6185,0.7430728849717265,0.646875,,,,,,,
SubjectConditioned,123,S07,5,0.6531531531531531,0.6188131313131313,0.7719579222159185,0.7016835016835017,,,,,,,
SubjectConditioned,123,S07,10,0.6752293577981652,0.6240120274914089,0.7892070748638391,0.7036082474226805,,,,,,,
SubjectConditioned,123,S07,20,0.6557692307692308,0.6315217391304349,0.7722843627406564,0.7026268115942029,,,,,,,
SubjectConditioned,123,S11,5,0.6095,0.6095,0.6307533234030412,0.67553,,,,,,,
SubjectConditioned,123,S11,10,0.619205298013245,0.6101764705882353,0.6871275009517879,0.6743529411764706,,,,,,,
SubjectConditioned,123,S11,20,0.6072847682119205,0.5987745098039214,0.6767848343703593,0.6675490196078433,,,,,,,
SubjectConditioned,123,S12,5,0.4734375,0.576207729468599,0.4631405898239359,0.6257246376811595,,,,,,,
SubjectConditioned,123,S12,10,0.5491803278688525,0.6124031007751938,0.4997616942693498,0.6189922480620155,,,,,,,
SubjectConditioned,123,S12,20,0.5642857142857143,0.6029239766081871,0.505377786276598,0.5903508771929824,,,,,,,
SubjectConditioned,123,S13,5,0.5814999999999999,0.5814999999999999,0.61290038054136,0.64268,,,,,,,
SubjectConditioned,123,S13,10,0.5834999999999999,0.5835,0.6113381129016996,0.62095,,,,,,,
SubjectConditioned,123,S13,20,0.5715,0.5715000000000001,0.5862941812765726,0.6081399999999999,,,,,,,
SubjectConditioned,123,S14,5,0.587,0.587,0.6015368016629277,0.61825,,,,,,,
SubjectConditioned,123,S14,10,0.5775,0.5775,0.5947962221368115,0.60972,,,,,,,
SubjectConditioned,123,S14,20,0.562,0.562,0.5821675359410239,0.5956,,,,,,,
SubjectConditioned,123,S16,5,0.5789115646258503,0.5360106382978724,0.6781022413998227,0.5514680851063829,,,,,,,
SubjectConditioned,123,S16,10,0.5619047619047619,0.5235106382978724,0.6607597183609657,0.5508510638297873,,,,,,,
SubjectConditioned,123,S16,20,0.5853146853146853,0.5445367907801419,0.6818733651937834,0.5626329787234042,,,,,,,
SubjectConditioned,123,S17,5,0.6426666666666666,0.6175,0.720906780809927,0.6720599999999999,,,,,,,
SubjectConditioned,123,S17,10,0.6699999999999999,0.6575000000000001,0.7368527917722762,0.6980799999999999,,,,,,,
SubjectConditioned,123,S17,20,0.682,0.658,0.7536635446287103,0.7078,,,,,,,
SubjectConditioned,123,S18,5,0.49727272727272726,0.5193379790940766,0.5824724044426308,0.5342770034843205,,,,,,,
SubjectConditioned,123,S18,10,0.5093457943925233,0.5259267631103073,0.5945023969314176,0.5494575045207958,,,,,,,
SubjectConditioned,123,S18,20,0.5196078431372548,0.5246138996138996,0.6056081357884062,0.5303571428571429,,,,,,,
SubjectConditioned,123,S20,5,0.5593023255813955,0.5521245421245421,0.6565651497997373,0.5939194139194139,,,,,,,
SubjectConditioned,123,S20,10,0.5738095238095238,0.6047619047619047,0.6553571305543697,0.6303099017384731,,,,,,,
SubjectConditioned,123,S20,20,0.5822784810126581,0.5742610837438424,0.674587598782203,0.6073891625615764,,,,,,,
SubjectConditioned,123,S21,5,0.606896551724138,0.7425925925925926,0.7284283715364761,0.774074074074074,,,,,,,
SubjectConditioned,123,S21,10,0.562962962962963,0.6950000000000001,0.6861641928547833,0.726,,,,,,,
SubjectConditioned,123,S21,20,0.5863636363636363,0.75,0.7009399332591769,0.7424999999999999,,,,,,,
SubjectConditioned,123,S22,5,0.764,0.7380952380952381,0.8462858778455697,0.7988095238095237,,,,,,,
SubjectConditioned,123,S22,10,0.6391304347826086,0.6828947368421052,0.7345745150610034,0.7934210526315789,,,,,,,
SubjectConditioned,123,S22,20,0.7055555555555555,0.7125,0.7830436786268871,0.7892857142857144,,,,,,,
SubjectConditioned,123,S23,5,0.5525,0.5525,0.6032185038161118,0.57547,,,,,,,
SubjectConditioned,123,S23,10,0.5674999999999999,0.5675,0.6033270407579712,0.58104,,,,,,,
SubjectConditioned,123,S23,20,0.5987096774193548,0.5650454545454545,0.6858260139808879,0.5792363636363635,,,,,,,
SubjectConditioned,123,S24,5,0.5757142857142857,0.56725,0.6620439995795164,0.5808500000000001,,,,,,,
SubjectConditioned,123,S24,10,0.5914285714285714,0.567,0.6848632554967888,0.5729499999999998,,,,,,,
SubjectConditioned,123,S24,20,0.5878571428571429,0.5735,0.6766705994825808,0.58685,,,,,,,
SubjectConditioned,123,S26,5,0.5432692307692307,0.5365556978233036,0.6216362669503367,0.5536491677336748,,,,,,,
SubjectConditioned,123,S26,10,0.5245098039215687,0.5165349143610014,0.6046598347489411,0.5414141414141415,,,,,,,
SubjectConditioned,123,S26,20,0.5402061855670104,0.5495501893939394,0.5985608945536967,0.5726799242424242,,,,,,,
