method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
SubjectConditioned_NoFiLM,456,S02,5,0.5023255813953489,0.5315217391304348,0.5595390301364251,0.5569623971797885,,,,,,,
SubjectConditioned_NoFiLM,456,S02,10,0.4850393700787402,0.5117267267267268,0.5454671799131084,0.5483783783783784,,,,,,,
SubjectConditioned_NoFiLM,456,S02,20,0.5008196721311475,0.5044038155802861,0.578712696119702,0.5402861685214627,,,,,,,
SubjectConditioned_NoFiLM,456,S06,5,0.5620370370370371,0.5622499999999999,0.696363976134071,0.55975,,,,,,,
SubjectConditioned_NoFiLM,456,S06,10,0.5324074074074074,0.56925,0.6723362233598733,0.5207499999999999,,,,,,,
SubjectConditioned_NoFiLM,456,S06,20,0.5629629629629631,0.603,0.6996205896904195,0.58875,,,,,,,
SubjectConditioned_NoFiLM,456,S07,5,0.6261261261261262,0.6292929292929292,0.7412737035590069,0.6967171717171717,,,,,,,
SubjectConditioned_NoFiLM,456,S07,10,0.6,0.6693728522336769,0.7203220959239242,0.7098797250859107,,,,,,,
SubjectConditioned_NoFiLM,456,S07,20,0.6240384615384615,0.5990942028985506,0.7465491014544081,0.6945652173913042,,,,,,,
SubjectConditioned_NoFiLM,456,S11,5,0.597,0.597,0.5298299620557366,0.6465799999999999,,,,,,,
SubjectConditioned_NoFiLM,456,S11,10,0.5927152317880795,0.602186274509804,0.6487263762266771,0.6444509803921569,,,,,,,
SubjectConditioned_NoFiLM,456,S11,20,0.5980132450331126,0.6033039215686274,0.657513919132168,0.6504901960784315,,,,,,,
SubjectConditioned_NoFiLM,456,S12,5,0.5453125,0.5805555555555555,0.44251981626613157,0.5946859903381643,,,,,,,
SubjectConditioned_NoFiLM,456,S12,10,0.540983606557377,0.5872093023255813,0.4715937025283619,0.584108527131783,,,,,,,
SubjectConditioned_NoFiLM,456,S12,20,0.5553571428571428,0.5992690058479532,0.51060297015198,0.612719298245614,,,,,,,
SubjectConditioned_NoFiLM,456,S13,5,0.5655,0.5655,0.583054555514045,0.60595,,,,,,,
SubjectConditioned_NoFiLM,456,S13,10,0.579,0.579,0.6145726611352226,0.61146,,,,,,,
SubjectConditioned_NoFiLM,456,S13,20,0.58,0.58,0.613419584838091,0.6225500000000002,,,,,,,
SubjectConditioned_NoFiLM,456,S14,5,0.5355000000000001,0.5355000000000001,0.544852477164211,0.55707,,,,,,,
SubjectConditioned_NoFiLM,456,S14,10,0.546,0.546,0.5778793696252988,0.5616099999999999,,,,,,,
SubjectConditioned_NoFiLM,456,S14,20,0.5594999999999999,0.5594999999999999,0.5661163334354676,0.5716600000000001,,,,,,,
SubjectConditioned_NoFiLM,456,S16,5,0.5503401360544218,0.5409468085106383,0.6276658235069501,0.5606382978723404,,,,,,,
SubjectConditioned_NoFiLM,456,S16,10,0.5462585034013607,0.534,0.6271632896941325,0.560595744680851,,,,,,,
SubjectConditioned_NoFiLM,456,S16,20,0.5552447552447551,0.5444038120567376,0.6329035814443608,0.5565824468085105,,,,,,,
SubjectConditioned_NoFiLM,456,S17,5,0.632,0.6375,0.6856538956865054,0.68822,,,,,,,
SubjectConditioned_NoFiLM,456,S17,10,0.6646666666666666,0.6515,0.7310494029776144,0.68738,,,,,,,
SubjectConditioned_NoFiLM,456,S17,20,0.6533333333333333,0.6415,0.7216438907398419,0.6782,,,,,,,
SubjectConditioned_NoFiLM,456,S18,5,0.5063636363636365,0.5136759581881533,0.5845666834230612,0.5226045296167247,,,,,,,
SubjectConditioned_NoFiLM,456,S18,10,0.5205607476635514,0.5369801084990959,0.6043007832488175,0.5384267631103075,,,,,,,
SubjectConditioned_NoFiLM,456,S18,20,0.5470588235294118,0.5402027027027027,0.6385315903322256,0.5367760617760617,,,,,,,
SubjectConditioned_NoFiLM,456,S20,5,0.5174418604651163,0.5421611721611722,0.6010446194109003,0.5726739926739928,,,,,,,
SubjectConditioned_NoFiLM,456,S20,10,0.5357142857142857,0.5396825396825398,0.626583536115241,0.5670445956160242,,,,,,,
SubjectConditioned_NoFiLM,456,S20,20,0.5367088607594936,0.5599343185550082,0.6146523062808302,0.5874384236453202,,,,,,,
SubjectConditioned_NoFiLM,456,S21,5,0.6724137931034483,0.8240740740740741,0.7838273278794008,0.788888888888889,,,,,,,
SubjectConditioned_NoFiLM,456,S21,10,0.6777777777777778,0.826,0.780355345258813,0.792,,,,,,,
SubjectConditioned_NoFiLM,456,S21,20,0.7090909090909091,0.8400000000000001,0.8068142244612833,0.7875,,,,,,,
SubjectConditioned_NoFiLM,456,S22,5,0.516,0.5095238095238095,0.6201888791782774,0.555952380952381,,,,,,,
SubjectConditioned_NoFiLM,456,S22,10,0.6130434782608696,0.5190789473684211,0.7340772668476653,0.5526315789473685,,,,,,,
SubjectConditioned_NoFiLM,456,S22,20,0.611111111111111,0.5803571428571428,0.7085311112897319,0.6428571428571428,,,,,,,
SubjectConditioned_NoFiLM,456,S23,5,0.5595000000000001,0.5595000000000001,0.5713701165787719,0.59582,,,,,,,
SubjectConditioned_NoFiLM,456,S23,10,0.5495,0.5495,0.5650351822887798,0.58807,,,,,,,
SubjectConditioned_NoFiLM,456,S23,20,0.5541935483870968,0.5399545454545454,0.6296728327225865,0.5784727272727272,,,,,,,
SubjectConditioned_NoFiLM,456,S24,5,0.5835714285714285,0.57125,0.65719737016986,0.6205250000000001,,,,,,,
SubjectConditioned_NoFiLM,456,S24,10,0.5628571428571428,0.583,0.6346426207204077,0.631325,,,,,,,
SubjectConditioned_NoFiLM,456,S24,20,0.5892857142857142,0.5925,0.668113396922472,0.6350250000000001,,,,,,,
SubjectConditioned_NoFiLM,456,S26,5,0.5586538461538461,0.5551216389244559,0.618927620843208,0.5678190354246693,,,,,,,
SubjectConditioned_NoFiLM,456,S26,10,0.5970588235294118,0.5717391304347826,0.683227594348491,0.5787439613526569,,,,,,,
SubjectConditioned_NoFiLM,456,S26,20,0.6,0.5713778409090909,0.6843769507215054,0.594034090909091,,,,,,,
