method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Matching,123,S02,5,0.5175000000000001,0.5175000000000001,0.5303931274884873,0.572,,,,,,,
Matching,123,S02,10,0.5225000000000001,0.5225000000000001,0.5496333978041094,0.5725,,,,,,,
Matching,123,S02,20,0.5525,0.5525,0.5462767432463913,0.5952500000000001,,,,,,,
Matching,123,S06,5,0.5147058823529412,0.49107142857142855,0.5538419435992739,0.49642857142857133,,,,,,,
Matching,123,S06,10,0.4806451612903226,0.4993181818181818,0.48090698858824704,0.49022727272727273,,,,,,,
Matching,123,S06,20,0.5538461538461539,0.45333333333333325,0.6662906640319906,0.45916666666666667,,,,,,,
Matching,123,S07,5,0.5175,0.5175,0.5013535226520329,0.52675,,,,,,,
Matching,123,S07,10,0.55,0.5397222222222221,0.6156391683086234,0.6236111111111111,,,,,,,
Matching,123,S07,20,0.6,0.5367307692307692,0.7129911982002514,0.5865384615384615,,,,,,,
Matching,123,S11,5,0.5424999999999999,0.5424999999999999,0.5862581496394325,0.5883750000000001,,,,,,,
Matching,123,S11,10,0.53,0.53,0.5365759758280573,0.55675,,,,,,,
Matching,123,S11,20,0.5675000000000001,0.5675000000000001,0.5513213072939769,0.6129999999999999,,,,,,,
Matching,123,S12,5,0.475,0.475,0.3160835442452423,0.44725000000000004,,,,,,,
Matching,123,S12,10,0.53,0.53,0.5241564548408023,0.5365,,,,,,,
Matching,123,S12,20,0.5549999999999999,0.5549999999999999,0.6126137908938675,0.585,,,,,,,
Matching,123,S13,5,0.5325,0.5325,0.5285228954052483,0.584375,,,,,,,
Matching,123,S13,10,0.5299999999999999,0.5299999999999999,0.5253287895847109,0.5285,,,,,,,
Matching,123,S13,20,0.55,0.55,0.6325169541152794,0.5682499999999999,,,,,,,
Matching,123,S14,5,0.475,0.475,0.40923347620121814,0.47087500000000004,,,,,,,
Matching,123,S14,10,0.5199999999999999,0.5199999999999999,0.5224139534356252,0.52275,,,,,,,
Matching,123,S14,20,0.5125,0.5125,0.5816291560102302,0.54775,,,,,,,
Matching,123,S16,5,0.5399999999999999,0.5399999999999999,0.48546741222950995,0.561375,,,,,,,
Matching,123,S16,10,0.51,0.51,0.3443410787661231,0.5189999999999999,,,,,,,
Matching,123,S16,20,0.5725,0.5725,0.6470651903528036,0.5805,,,,,,,
Matching,123,S17,5,0.5925,0.5925,0.6189117188714295,0.6325000000000001,,,,,,,
Matching,123,S17,10,0.5700000000000001,0.5700000000000001,0.5168444840594586,0.578,,,,,,,
Matching,123,S17,20,0.67,0.6699999999999999,0.6762548987349628,0.6990000000000001,,,,,,,
Matching,123,S18,5,0.55,0.55,0.5094969239913036,0.5934999999999999,,,,,,,
Matching,123,S18,10,0.5225,0.5225,0.5135095942457497,0.55725,,,,,,,
Matching,123,S18,20,0.53,0.53,0.43755599930591343,0.57075,,,,,,,
Matching,123,S20,5,0.5050000000000001,0.5050000000000001,0.5076034618975795,0.5087499999999999,,,,,,,
Matching,123,S20,10,0.5025000000000001,0.5025000000000001,0.5318156843156843,0.491375,,,,,,,
Matching,123,S20,20,0.4624999999999999,0.4624999999999999,0.41066724140790356,0.45999999999999996,,,,,,,
Matching,123,S21,5,0.4523809523809524,0.7125,0.5665949283422804,0.6549999999999999,,,,,,,
Matching,123,S21,10,0.7095238095238094,0.6575,0.8057930672743879,0.6749999999999999,,,,,,,
Matching,123,S21,20,0.8047619047619048,0.7074999999999999,0.8801093009981333,0.78,,,,,,,
Matching,123,S22,5,0.516,0.4574999999999999,0.6028641927424186,0.406,,,,,,,
Matching,123,S22,10,0.5545454545454545,0.4625,0.6549501620554252,0.46749999999999997,,,,,,,
Matching,123,S22,20,0.7,0.6525000000000001,0.7957478511826338,0.7,,,,,,,
Matching,123,S23,5,0.5599999999999999,0.5599999999999999,0.5593380927248852,0.50875,,,,,,,
Matching,123,S23,10,0.48999999999999994,0.49000000000000005,0.44500866643824655,0.4847499999999999,,,,,,,
Matching,123,S23,20,0.53,0.53,0.6088155533358179,0.5732499999999999,,,,,,,
Matching,123,S24,5,0.5650000000000001,0.5650000000000001,0.5961508334655752,0.599,,,,,,,
Matching,123,S24,10,0.5375,0.5375,0.5138877020900934,0.578125,,,,,,,
Matching,123,S24,20,0.595,0.595,0.6196365127919019,0.64425,,,,,,,
Matching,123,S26,5,0.5499999999999999,0.55,0.5497694398906321,0.57875,,,,,,,
Matching,123,S26,10,0.55,0.55,0.5714509463965985,0.5587500000000001,,,,,,,
Matching,123,S26,20,0.5774999999999999,0.5774999999999999,0.5997764649267887,0.5752499999999999,,,,,,,
