method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Supervised,123,S02,5,0.5860215053763441,0.5829678362573099,0.6384976525821596,0.6525341130604289,186,72,114,68,31,41,46
Supervised,123,S02,10,0.6166666666666667,0.6316098707403055,0.6461538461538462,0.6456456456456456,180,69,111,63,21,48,48
Supervised,123,S02,20,0.6058823529411764,0.6127653301886793,0.6492146596858639,0.6559551886792452,170,64,106,62,23,41,44
Supervised,123,S06,5,0.4166666666666667,0.5237186477644493,0.5683646112600537,0.5280806979280261,276,14,262,106,5,9,156
Supervised,123,S06,10,0.4148148148148148,0.5644085644085644,0.5683060109289617,0.5514215514215515,270,11,259,104,3,8,155
Supervised,123,S06,20,0.6,0.5511811023622047,0.7463414634146341,0.6528871391076115,260,6,254,153,3,3,101
Supervised,123,S07,5,0.445,0.5848629954775206,0.5680933852140078,0.581803671189146,200,21,179,73,5,16,106
Supervised,123,S07,10,0.4845360824742268,0.5662878787878788,0.6212121212121212,0.584280303030303,194,18,176,82,6,12,94
Supervised,123,S07,20,0.5652173913043478,0.6239316239316239,0.7037037037037037,0.6369770580296896,184,13,171,95,4,9,76
Supervised,123,S11,5,0.5836065573770491,0.5878048780487805,0.650137741046832,0.6177560975609756,305,100,205,118,40,60,87
Supervised,123,S11,10,0.5351170568561873,0.5648412779422272,0.5825825825825826,0.5695621108502603,299,97,202,97,34,63,105
Supervised,123,S11,20,0.5709342560553633,0.5636173030236151,0.6497175141242938,0.5828183623924078,289,92,197,115,42,50,82
Supervised,123,S12,5,0.46236559139784944,0.4674242424242424,0.3902439024390244,0.4323232323232323,93,60,33,16,33,27,17
Supervised,123,S12,10,0.5172413793103449,0.5605263157894737,0.5,0.5345029239766081,87,57,30,21,33,24,9
Supervised,123,S12,20,0.5194805194805194,0.5196153846153846,0.4126984126984127,0.5553846153846154,77,52,25,13,25,27,12
Supervised,123,S13,5,0.5376344086021505,0.5378211716341212,0.5132075471698113,0.5409558067831449,279,139,140,68,57,82,72
Supervised,123,S13,10,0.5714285714285714,0.5712483898668956,0.5923344947735192,0.5947294976384714,273,136,137,85,65,71,52
Supervised,123,S13,20,0.6121673003802282,0.6121327781633126,0.6165413533834586,0.6731436502428868,263,131,132,82,52,79,50
Supervised,123,S14,5,0.5838323353293413,0.5625579956696567,0.6618004866180048,0.6193550881534179,334,122,212,136,63,59,76
Supervised,123,S14,10,0.5853658536585366,0.5660809778456837,0.6616915422885572,0.5934220578183427,328,119,209,133,60,59,76
Supervised,123,S14,20,0.6037735849056604,0.6021671826625387,0.6631016042780749,0.6442638458892329,318,114,204,124,46,68,80
Supervised,123,S16,5,0.5432692307692307,0.5341880341880342,0.5991561181434599,0.5162017469709778,208,91,117,71,49,42,46
Supervised,123,S16,10,0.5346534653465347,0.52811004784689,0.584070796460177,0.47717304625199364,202,88,114,66,46,42,48
Supervised,123,S16,20,0.5260416666666666,0.5164695479164364,0.5844748858447488,0.541173869791091,192,83,109,64,46,37,45
Supervised,123,S17,5,0.5578947368421052,0.5465458910837062,0.6337209302325582,0.5617155953290407,285,98,187,109,48,50,78
Supervised,123,S17,10,0.6487455197132617,0.6191361556064073,0.7277777777777777,0.6796910755148742,279,95,184,131,45,50,53
Supervised,123,S17,20,0.6319702602230484,0.6157355679702048,0.7062314540059347,0.6601489757914338,269,90,179,119,39,51,60
Supervised,123,S18,5,0.5515151515151515,0.4907345013477089,0.6666666666666666,0.516677897574124,165,53,112,74,36,17,38
Supervised,123,S18,10,0.5345911949685535,0.5252293577981652,0.6185567010309279,0.5064220183486238,159,50,109,60,25,25,49
Supervised,123,S18,20,0.5234899328859061,0.4947649572649573,0.6243386243386243,0.5076923076923077,149,45,104,59,26,19,45
Supervised,123,S20,5,0.5681818181818182,0.5669975186104219,0.6503067484662577,0.6140060656189689,132,39,93,53,17,22,40
Supervised,123,S20,10,0.373015873015873,0.4277777777777778,0.40601503759398494,0.4228395061728395,126,36,90,27,16,20,63
Supervised,123,S20,20,0.47413793103448276,0.48747628083491457,0.5611510791366906,0.5282732447817837,116,31,85,39,15,16,46
Supervised,123,S21,5,0.4107142857142857,0.7,0.5714285714285714,0.41818181818181815,56,1,55,22,0,1,33
Supervised,123,S21,10,0.8461538461538461,0.8461538461538461,0.9166666666666666,,52,0,52,44,0,0,8
Supervised,123,S21,20,0.9574468085106383,0.9574468085106383,0.9782608695652174,,47,0,47,45,0,0,2
Supervised,123,S22,5,0.6136363636363636,0.6948717948717948,0.7301587301587301,0.7435897435897436,44,5,39,23,1,4,16
Supervised,123,S22,10,0.47368421052631576,0.7222222222222222,0.6153846153846154,0.5416666666666666,38,2,36,16,0,2,20
Supervised,123,S22,20,0.4838709677419355,0.4838709677419355,0.6521739130434783,,31,0,31,15,0,0,16
Supervised,123,S23,5,0.54,0.4800736041838167,0.6584158415841584,0.4873855987603506,300,107,193,133,78,29,60
Supervised,123,S23,10,0.5816326530612245,0.5501012145748988,0.6702412868632708,0.5508603238866397,294,104,190,125,58,46,65
Supervised,123,S23,20,0.528169014084507,0.5392301392301393,0.58125,0.5474201474201474,284,99,185,93,42,57,92
Supervised,123,S24,5,0.519434628975265,0.5253283302063789,0.6069364161849711,0.5692933083176986,283,78,205,105,36,42,100
Supervised,123,S24,10,0.5415162454873647,0.4676897689768977,0.6666666666666666,0.4594719471947195,277,75,202,127,52,23,75
Supervised,123,S24,20,0.6104868913857678,0.5840826686004351,0.7078651685393258,0.5889050036258158,267,70,197,126,33,37,71
Supervised,123,S26,5,0.5277777777777778,0.5026455026455027,0.6263736263736264,0.5308641975308641,144,63,81,57,44,19,24
Supervised,123,S26,10,0.5362318840579711,0.5358974358974359,0.5675675675675675,0.48952991452991457,138,60,78,42,28,32,36
Supervised,123,S26,20,0.5234375,0.5216687422166875,0.5611510791366906,0.4787048567870486,128,55,73,39,27,28,34
