method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
CovarianceAlignment,42,S02,5,0.4625,0.46249999999999997,0.39436619718309857,0.46375,80,40,40,14,17,23,26
CovarianceAlignment,42,S02,10,0.4875,0.4875,0.3492063492063492,0.52625,80,40,40,11,12,28,29
CovarianceAlignment,42,S02,20,0.5625,0.5625,0.6067415730337079,0.53625,80,40,40,27,22,18,13
CovarianceAlignment,42,S06,5,0.5740740740740741,0.6428571428571428,0.6349206349206349,0.6589285714285714,54,14,40,20,3,11,20
CovarianceAlignment,42,S06,10,0.47058823529411764,0.6295454545454545,0.509090909090909,0.5954545454545453,51,11,40,14,1,10,26
CovarianceAlignment,42,S06,20,0.6739130434782609,0.6708333333333334,0.782608695652174,0.6916666666666667,46,6,40,27,2,4,13
CovarianceAlignment,42,S07,5,0.6721311475409836,0.7160714285714285,0.696969696969697,0.7416666666666666,61,21,40,23,3,18,17
CovarianceAlignment,42,S07,10,0.5862068965517241,0.5777777777777777,0.6666666666666666,0.6513888888888889,58,18,40,24,8,10,16
CovarianceAlignment,42,S07,20,0.8301886792452831,0.8096153846153846,0.8831168831168831,0.7884615384615384,53,13,40,34,3,10,6
CovarianceAlignment,42,S11,5,0.4,0.4,0.5102040816326531,0.36312500000000003,80,40,40,25,33,7,15
CovarianceAlignment,42,S11,10,0.6,0.6000000000000001,0.5675675675675675,0.55375,80,40,40,21,13,27,19
CovarianceAlignment,42,S11,20,0.4,0.4,0.35135135135135137,0.418125,80,40,40,13,21,19,27
CovarianceAlignment,42,S12,5,0.4794520547945205,0.5011363636363637,0.5581395348837209,0.4810606060606061,73,40,33,24,29,11,9
CovarianceAlignment,42,S12,10,0.5285714285714286,0.5083333333333333,0.4,0.5641666666666666,70,40,30,11,14,26,19
CovarianceAlignment,42,S12,20,0.4307692307692308,0.455,0.4307692307692308,0.473,65,40,25,14,26,14,11
CovarianceAlignment,42,S13,5,0.35,0.35,0.44680851063829785,0.35,80,40,40,21,33,7,19
CovarianceAlignment,42,S13,10,0.5125,0.5125,0.5185185185185185,0.468125,80,40,40,21,20,20,19
CovarianceAlignment,42,S13,20,0.4125,0.4125,0.43373493975903615,0.46375000000000005,80,40,40,18,25,15,22
CovarianceAlignment,42,S14,5,0.525,0.525,0.6274509803921569,0.45562500000000006,80,40,40,32,30,10,8
CovarianceAlignment,42,S14,10,0.3875,0.3875,0.3466666666666667,0.379375,80,40,40,13,22,18,27
CovarianceAlignment,42,S14,20,0.675,0.675,0.7111111111111111,0.695,80,40,40,32,18,22,8
CovarianceAlignment,42,S16,5,0.5875,0.5875,0.5714285714285714,0.5443749999999999,80,40,40,22,15,25,18
CovarianceAlignment,42,S16,10,0.425,0.42500000000000004,0.34285714285714286,0.4425,80,40,40,12,18,22,28
CovarianceAlignment,42,S16,20,0.5,0.5,0.4444444444444444,0.470625,80,40,40,16,16,24,24
CovarianceAlignment,42,S17,5,0.5,0.5,0.4117647058823529,0.43374999999999997,80,40,40,14,14,26,26
CovarianceAlignment,42,S17,10,0.5875,0.5875,0.611764705882353,0.5925,80,40,40,26,19,21,14
CovarianceAlignment,42,S17,20,0.5875,0.5875,0.611764705882353,0.575625,80,40,40,26,19,21,14
CovarianceAlignment,42,S18,5,0.525,0.525,0.5581395348837209,0.48187500000000005,80,40,40,24,22,18,16
CovarianceAlignment,42,S18,10,0.55,0.55,0.3793103448275862,0.5275000000000001,80,40,40,11,7,33,29
CovarianceAlignment,42,S18,20,0.5375,0.5375,0.5066666666666667,0.515625,80,40,40,19,16,24,21
CovarianceAlignment,42,S20,5,0.4936708860759494,0.4926282051282051,0.5348837209302325,0.5006410256410256,79,39,40,23,23,16,17
