method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
EEGNet,42,S02,5,0.7137499999999999,0.7137499999999999,0.7165466387285446,0.78125,,,,,,,
EEGNet,42,S02,10,0.7187499999999999,0.71875,0.7245841221450442,0.7908125000000001,,,,,,,
EEGNet,42,S02,20,0.7262500000000001,0.72625,0.7257287269743161,0.8025624999999998,,,,,,,
EEGNet,42,S06,5,0.6444444444444445,0.5510714285714285,0.7492725212404211,0.5848214285714286,,,,,,,
EEGNet,42,S06,10,0.5294117647058824,0.5220454545454546,0.6124341420940781,0.5677272727272727,,,,,,,
EEGNet,42,S06,20,0.6152173913043478,0.5945833333333332,0.7334379319780086,0.6329166666666667,,,,,,,
EEGNet,42,S07,5,0.7983606557377049,0.7829166666666667,0.8420066041965631,0.8735714285714286,,,,,,,
EEGNet,42,S07,10,0.803448275862069,0.8147222222222222,0.8430488785008908,0.8702777777777777,,,,,,,
EEGNet,42,S07,20,0.8037735849056604,0.8128846153846153,0.8586419865067063,0.8826923076923077,,,,,,,
EEGNet,42,S11,5,0.555,0.555,0.5746735644085728,0.5771875,,,,,,,
EEGNet,42,S11,10,0.5787500000000001,0.57875,0.5653923329592876,0.6438125,,,,,,,
EEGNet,42,S11,20,0.6012500000000001,0.6012500000000001,0.5941427039724654,0.6503750000000001,,,,,,,
EEGNet,42,S12,5,0.5534246575342465,0.5569696969696969,0.5403609463658918,0.5830303030303031,,,,,,,
EEGNet,42,S12,10,0.5828571428571427,0.5804166666666667,0.5334924460816188,0.6281666666666668,,,,,,,
EEGNet,42,S12,20,0.5815384615384614,0.59175,0.5384219754041519,0.6227,,,,,,,
EEGNet,42,S13,5,0.51875,0.51875,0.5430606125321797,0.5244375,,,,,,,
EEGNet,42,S13,10,0.5612499999999999,0.5612499999999999,0.592827074679579,0.5889374999999999,,,,,,,
EEGNet,42,S13,20,0.55,0.55,0.5304418773535382,0.5995,,,,,,,
EEGNet,42,S14,5,0.57125,0.57125,0.5578559890174379,0.59225,,,,,,,
EEGNet,42,S14,10,0.6487499999999999,0.6487499999999999,0.6375451634115589,0.7227500000000001,,,,,,,
EEGNet,42,S14,20,0.6712499999999999,0.67125,0.6726993904331618,0.7623125,,,,,,,
EEGNet,42,S16,5,0.5462499999999999,0.5462499999999999,0.5346570765974947,0.574125,,,,,,,
EEGNet,42,S16,10,0.5700000000000001,0.5700000000000001,0.5554533206931368,0.5979374999999999,,,,,,,
EEGNet,42,S16,20,0.61,0.61,0.6275353892466604,0.6475625,,,,,,,
EEGNet,42,S17,5,0.6874999999999999,0.6874999999999999,0.6690779241628098,0.7412500000000001,,,,,,,
EEGNet,42,S17,10,0.755,0.755,0.7304124161555838,0.8135,,,,,,,
EEGNet,42,S17,20,0.7775,0.7775,0.7800478047569508,0.8542500000000001,,,,,,,
EEGNet,42,S18,5,0.55625,0.55625,0.5841351061990921,0.573125,,,,,,,
EEGNet,42,S18,10,0.615,0.615,0.6020292725186746,0.65625,,,,,,,
EEGNet,42,S18,20,0.5925,0.5925,0.5885737475571615,0.6393125000000001,,,,,,,
EEGNet,42,S20,5,0.5556962025316455,0.555897435897436,0.5217510506306067,0.5812820512820512,,,,,,,
EEGNet,42,S20,10,0.5907894736842104,0.5873611111111111,0.6162434205071885,0.6107638888888889,,,,,,,
EEGNet,42,S20,20,0.6014084507042254,0.6041532258064516,0.6174101214015184,0.6429838709677419,,,,,,,
EEGNet,42,S21,5,0.797560975609756,0.79875,0.8759323390760585,0.9824999999999999,,,,,,,
EEGNet,42,S21,10,0.9487804878048781,0.8275,0.9728455698075951,0.9875,,,,,,,
EEGNet,42,S21,20,0.9658536585365856,0.8850000000000001,0.9821449842546889,0.985,,,,,,,
EEGNet,42,S22,5,0.5477272727272726,0.49205128205128207,0.6586868616811852,0.5107692307692309,,,,,,,
EEGNet,42,S22,10,0.6710526315789475,0.6138888888888889,0.7893380619720719,0.6027777777777779,,,,,,,
EEGNet,42,S22,20,0.74375,0.48064516129032253,0.8488574198298983,0.3516129032258064,,,,,,,
EEGNet,42,S23,5,0.49749999999999994,0.49749999999999994,0.4873639578180029,0.5191250000000001,,,,,,,
EEGNet,42,S23,10,0.5525,0.5525,0.5455465507881134,0.5885,,,,,,,
EEGNet,42,S23,20,0.61,0.61,0.6062569258263759,0.6641875,,,,,,,
EEGNet,42,S24,5,0.5712499999999998,0.5712499999999998,0.5386936940547116,0.6061875,,,,,,,
EEGNet,42,S24,10,0.6174999999999999,0.6174999999999999,0.6386708900792748,0.6733125,,,,,,,
EEGNet,42,S24,20,0.6224999999999999,0.6224999999999999,0.6165543005635266,0.6715625,,,,,,,
EEGNet,42,S26,5,0.5337500000000001,0.5337500000000001,0.4552420565953469,0.545875,,,,,,,
EEGNet,42,S26,10,0.49124999999999996,0.49124999999999996,0.46739880655341637,0.496,,,,,,,
EEGNet,42,S26,20,0.48250000000000004,0.48250000000000004,0.4483526016644216,0.48531250000000004,,,,,,,
