method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Pretrain-ZeroShot,42,S02,5,0.5526315789473685,0.4843895619757689,0.6840148698884758,0.5445596458527493,190,74,116,92,61,13,24
Pretrain-ZeroShot,42,S02,10,0.5526315789473685,0.4843895619757689,0.6840148698884758,0.5445596458527493,190,74,116,92,61,13,24
Pretrain-ZeroShot,42,S02,20,0.5526315789473685,0.4843895619757689,0.6840148698884758,0.5445596458527493,190,74,116,92,61,13,24
Pretrain-ZeroShot,42,S06,5,0.6321428571428571,0.42329545454545453,0.7716186252771619,0.4879261363636363,280,16,264,174,13,3,90
Pretrain-ZeroShot,42,S06,10,0.6321428571428571,0.42329545454545453,0.7716186252771619,0.4879261363636363,280,16,264,174,13,3,90
Pretrain-ZeroShot,42,S06,20,0.6321428571428571,0.42329545454545453,0.7716186252771619,0.4879261363636363,280,16,264,174,13,3,90
Pretrain-ZeroShot,42,S07,5,0.7205882352941176,0.5768676435263032,0.8288288288288288,0.6440067259188085,204,23,181,138,14,9,43
Pretrain-ZeroShot,42,S07,10,0.7205882352941176,0.5768676435263032,0.8288288288288288,0.6440067259188085,204,23,181,138,14,9,43
Pretrain-ZeroShot,42,S07,20,0.7205882352941176,0.5768676435263032,0.8288288288288288,0.6440067259188085,204,23,181,138,14,9,43
Pretrain-ZeroShot,42,S11,5,0.6407766990291263,0.6125319693094629,0.7218045112781954,0.6414227526759496,309,102,207,144,48,54,63
Pretrain-ZeroShot,42,S11,10,0.6407766990291263,0.6125319693094629,0.7218045112781954,0.6414227526759496,309,102,207,144,48,54,63
Pretrain-ZeroShot,42,S11,20,0.6407766990291263,0.6125319693094629,0.7218045112781954,0.6414227526759496,309,102,207,144,48,54,63
Pretrain-ZeroShot,42,S12,5,0.4639175257731959,0.5495391705069124,0.5357142857142857,0.5497695852534561,97,62,35,30,47,15,5
Pretrain-ZeroShot,42,S12,10,0.4639175257731959,0.5495391705069124,0.5357142857142857,0.5497695852534561,97,62,35,30,47,15,5
Pretrain-ZeroShot,42,S12,20,0.4639175257731959,0.5495391705069124,0.5357142857142857,0.5497695852534561,97,62,35,30,47,15,5
Pretrain-ZeroShot,42,S13,5,0.6113074204946997,0.6109030066926381,0.6518987341772152,0.6536310058935172,283,141,142,103,71,70,39
Pretrain-ZeroShot,42,S13,10,0.6113074204946997,0.6109030066926381,0.6518987341772152,0.6536310058935172,283,141,142,103,71,70,39
Pretrain-ZeroShot,42,S13,20,0.6113074204946997,0.6109030066926381,0.6518987341772152,0.6536310058935172,283,141,142,103,71,70,39
Pretrain-ZeroShot,42,S14,5,0.6183431952662722,0.5714124208622249,0.7126948775055679,0.6009195055773289,338,124,214,160,75,49,54
Pretrain-ZeroShot,42,S14,10,0.6183431952662722,0.5714124208622249,0.7126948775055679,0.6009195055773289,338,124,214,160,75,49,54
Pretrain-ZeroShot,42,S14,20,0.6183431952662722,0.5714124208622249,0.7126948775055679,0.6009195055773289,338,124,214,160,75,49,54
Pretrain-ZeroShot,42,S16,5,0.5660377358490566,0.5394415830848468,0.6617647058823529,0.5415198337399476,212,93,119,90,63,30,29
Pretrain-ZeroShot,42,S16,10,0.5660377358490566,0.5394415830848468,0.6617647058823529,0.5415198337399476,212,93,119,90,63,30,29
Pretrain-ZeroShot,42,S16,20,0.5660377358490566,0.5394415830848468,0.6617647058823529,0.5415198337399476,212,93,119,90,63,30,29
Pretrain-ZeroShot,42,S17,5,0.6262975778546713,0.5871428571428572,0.7142857142857143,0.647989417989418,289,100,189,135,54,46,54
Pretrain-ZeroShot,42,S17,10,0.6262975778546713,0.5871428571428572,0.7142857142857143,0.647989417989418,289,100,189,135,54,46,54
Pretrain-ZeroShot,42,S17,20,0.6262975778546713,0.5871428571428572,0.7142857142857143,0.647989417989418,289,100,189,135,54,46,54
Pretrain-ZeroShot,42,S18,5,0.5562130177514792,0.558133971291866,0.6268656716417911,0.5696969696969698,169,55,114,63,24,31,51
Pretrain-ZeroShot,42,S18,10,0.5562130177514792,0.558133971291866,0.6268656716417911,0.5696969696969698,169,55,114,63,24,31,51
Pretrain-ZeroShot,42,S18,20,0.5562130177514792,0.558133971291866,0.6268656716417911,0.5696969696969698,169,55,114,63,24,31,51
Pretrain-ZeroShot,42,S20,5,0.625,0.5721437740693196,0.7243243243243244,0.6241335044929397,136,41,95,67,23,18,28
Pretrain-ZeroShot,42,S20,10,0.625,0.5721437740693196,0.7243243243243244,0.6241335044929397,136,41,95,67,23,18,28
Pretrain-ZeroShot,42,S20,20,0.625,0.5721437740693196,0.7243243243243244,0.6241335044929397,136,41,95,67,23,18,28
Pretrain-ZeroShot,42,S21,5,0.6333333333333333,0.6491228070175439,0.7659574468085106,0.7660818713450293,60,3,57,36,1,2,21
Pretrain-ZeroShot,42,S21,10,0.6333333333333333,0.6491228070175439,0.7659574468085106,0.7660818713450293,60,3,57,36,1,2,21
Pretrain-ZeroShot,42,S21,20,0.6333333333333333,0.6491228070175439,0.7659574468085106,0.7660818713450293,60,3,57,36,1,2,21
Pretrain-ZeroShot,42,S22,5,0.625,0.5435540069686411,0.75,0.5017421602787456,48,7,41,27,4,3,14
Pretrain-ZeroShot,42,S22,10,0.625,0.5435540069686411,0.75,0.5017421602787456,48,7,41,27,4,3,14
Pretrain-ZeroShot,42,S22,20,0.625,0.5435540069686411,0.75,0.5017421602787456,48,7,41,27,4,3,14
Pretrain-ZeroShot,42,S23,5,0.5855263157894737,0.537332392378264,0.6865671641791045,0.5768995530463421,304,109,195,138,69,40,57
