method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Riemannian,42,S02,5,0.5375,0.5375,0.5542168674698795,0.56125,80,40,40,23,20,20,17
Riemannian,42,S02,10,0.5875,0.5874999999999999,0.5822784810126582,0.619375,80,40,40,23,16,24,17
Riemannian,42,S02,20,0.6,0.6,0.6097560975609756,0.65,80,40,40,25,17,23,15
Riemannian,42,S06,5,0.3148148148148148,0.46785714285714286,0.24489795918367346,0.6124999999999999,54,14,40,6,3,11,34
Riemannian,42,S06,10,0.29411764705882354,0.4840909090909091,0.25,0.3818181818181818,51,11,40,6,2,9,34
Riemannian,42,S06,20,0.4782608695652174,0.5583333333333333,0.6,0.6166666666666667,46,6,40,18,2,4,22
Riemannian,42,S07,5,0.4426229508196721,0.41666666666666663,0.5405405405405406,0.30000000000000004,61,21,40,20,14,7,20
Riemannian,42,S07,10,0.5862068965517241,0.5625,0.6756756756756757,0.5416666666666666,58,18,40,25,9,9,15
Riemannian,42,S07,20,0.6792452830188679,0.6576923076923077,0.7671232876712328,0.6730769230769231,53,13,40,28,5,8,12
Riemannian,42,S11,5,0.55,0.55,0.6,0.5837500000000001,80,40,40,27,23,17,13
Riemannian,42,S11,10,0.425,0.42500000000000004,0.4888888888888889,0.381875,80,40,40,22,28,12,18
Riemannian,42,S11,20,0.5,0.5,0.4444444444444444,0.5231250000000001,80,40,40,16,16,24,24
Riemannian,42,S12,5,0.4383561643835616,0.4212121212121212,0.2807017543859649,0.48484848484848486,73,40,33,8,16,24,25
Riemannian,42,S12,10,0.5285714285714286,0.4916666666666667,0.2978723404255319,0.43416666666666665,70,40,30,7,10,30,23
Riemannian,42,S12,20,0.49230769230769234,0.5125,0.47619047619047616,0.536,65,40,25,15,23,17,10
Riemannian,42,S13,5,0.5625,0.5625,0.5205479452054794,0.63625,80,40,40,19,14,26,21
Riemannian,42,S13,10,0.55,0.55,0.55,0.536875,80,40,40,22,18,22,18
Riemannian,42,S13,20,0.4875,0.48750000000000004,0.3880597014925373,0.506875,80,40,40,13,14,26,27
Riemannian,42,S14,5,0.5625,0.5625,0.6464646464646465,0.5349999999999999,80,40,40,32,27,13,8
Riemannian,42,S14,10,0.575,0.575,0.5641025641025641,0.595,80,40,40,22,16,24,18
Riemannian,42,S14,20,0.6625,0.6625,0.6746987951807228,0.6762500000000001,80,40,40,28,15,25,12
Riemannian,42,S16,5,0.5,0.5,0.5,0.47437500000000005,80,40,40,20,20,20,20
Riemannian,42,S16,10,0.525,0.525,0.525,0.555625,80,40,40,21,19,21,19
Riemannian,42,S16,20,0.5375,0.5375,0.5194805194805194,0.534375,80,40,40,20,17,23,20
Riemannian,42,S17,5,0.5625,0.5625,0.6236559139784946,0.62125,80,40,40,29,24,16,11
Riemannian,42,S17,10,0.5125,0.5125,0.5517241379310345,0.5393749999999999,80,40,40,24,23,17,16
Riemannian,42,S17,20,0.4125,0.4125,0.38961038961038963,0.4149999999999999,80,40,40,15,22,18,25
Riemannian,42,S18,5,0.45,0.45,0.4883720930232558,0.47624999999999995,80,40,40,21,25,15,19
Riemannian,42,S18,10,0.4625,0.4625,0.49411764705882355,0.463125,80,40,40,21,24,16,19
Riemannian,42,S18,20,0.5625,0.5625,0.6236559139784946,0.61125,80,40,40,29,24,16,11
Riemannian,42,S20,5,0.5063291139240507,0.5048076923076923,0.5617977528089888,0.491025641025641,79,39,40,25,24,15,15
Riemannian,42,S20,10,0.47368421052631576,0.4777777777777778,0.4444444444444444,0.5097222222222222,76,36,40,16,16,20,24
Riemannian,42,S20,20,0.352112676056338,0.3633064516129032,0.3235294117647059,0.37338709677419357,71,31,40,11,17,14,29
Riemannian,42,S21,5,0.21951219512195122,0.6,0.3333333333333333,0.975,41,1,40,8,0,1,32
Riemannian,42,S21,10,0.9024390243902439,0.95,0.9473684210526315,1.0,41,1,40,36,0,1,4
Riemannian,42,S21,20,0.8780487804878049,0.45,0.935064935064935,0.875,41,1,40,36,1,0,4
Riemannian,42,S22,5,0.38636363636363635,0.5666666666666667,0.49056603773584906,0.5282051282051282,44,5,39,13,1,4,26
Riemannian,42,S22,10,0.6842105263157895,0.8333333333333333,0.8,0.875,38,2,36,24,0,2,12
Riemannian,42,S22,20,0.65625,0.3387096774193548,0.7924528301886793,0.5161290322580645,32,1,31,21,1,0,10
Riemannian,42,S23,5,0.4875,0.48750000000000004,0.5591397849462365,0.46437500000000004,80,40,40,26,27,13,14
Riemannian,42,S23,10,0.575,0.575,0.5641025641025641,0.57375,80,40,40,22,16,24,18
Riemannian,42,S23,20,0.5375,0.5375,0.5842696629213483,0.5968749999999999,80,40,40,26,23,17,14
Riemannian,42,S24,5,0.4375,0.4375,0.4444444444444444,0.44062500000000004,80,40,40,18,23,17,22
Riemannian,42,S24,10,0.45,0.45,0.4883720930232558,0.495,80,40,40,21,25,15,19
Riemannian,42,S24,20,0.4625,0.4625,0.3582089552238806,0.4575,80,40,40,12,15,25,28
Riemannian,42,S26,5,0.5125,0.5125,0.5617977528089888,0.51875,80,40,40,25,24,16,15
Riemannian,42,S26,10,0.475,0.475,0.5,0.446875,80,40,40,21,23,17,19
Riemannian,42,S26,20,0.4875,0.48750000000000004,0.4675324675324675,0.5625,80,40,40,18,19,21,22
