method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Full-MAML,456,S02,5,0.4937984496124031,0.5837103407755582,0.5086451786851681,0.5924500587544065,,,,,,,
Full-MAML,456,S02,10,0.5196850393700787,0.5648198198198198,0.5715304973205392,0.5687987987987988,,,,,,,
Full-MAML,456,S02,20,0.5286885245901639,0.5297456279809221,0.6075745451521978,0.5614944356120827,,,,,,,
Full-MAML,456,S06,5,0.525,0.56525,0.6638750431782771,0.6096249999999999,,,,,,,
Full-MAML,456,S06,10,0.5787037037037037,0.5770000000000001,0.711367805727958,0.5939999999999999,,,,,,,
Full-MAML,456,S06,20,0.6101851851851852,0.6054999999999999,0.7413598192651812,0.6359999999999999,,,,,,,
Full-MAML,456,S07,5,0.5423423423423424,0.5676767676767678,0.6682111376872749,0.6179292929292929,,,,,,,
Full-MAML,456,S07,10,0.5688073394495412,0.5386597938144331,0.697344942676506,0.5895189003436426,,,,,,,
Full-MAML,456,S07,20,0.6192307692307691,0.596376811594203,0.7417189407708898,0.6467391304347826,,,,,,,
Full-MAML,456,S11,5,0.605,0.6050000000000001,0.6641794820642399,0.65215,,,,,,,
Full-MAML,456,S11,10,0.5960264900662251,0.6066078431372548,0.6510422531077571,0.6440392156862746,,,,,,,
Full-MAML,456,S11,20,0.5953642384105959,0.5965,0.657121016329923,0.6358627450980392,,,,,,,
Full-MAML,456,S12,5,0.4828125,0.5827294685990337,0.4666818654437347,0.5881642512077295,,,,,,,
Full-MAML,456,S12,10,0.5114754098360657,0.5743540051679586,0.4664313922110532,0.5395348837209303,,,,,,,
Full-MAML,456,S12,20,0.5464285714285715,0.5809941520467836,0.4874342849954818,0.5916666666666667,,,,,,,
Full-MAML,456,S13,5,0.6000000000000001,0.6000000000000001,0.6151832147853081,0.6198300000000001,,,,,,,
Full-MAML,456,S13,10,0.6075,0.6075,0.6360097840233235,0.6255300000000001,,,,,,,
Full-MAML,456,S13,20,0.612,0.612,0.6365696923436486,0.63538,,,,,,,
Full-MAML,456,S14,5,0.557,0.557,0.5919730675995318,0.5846900000000002,,,,,,,
Full-MAML,456,S14,10,0.5565,0.5565,0.5796346010513808,0.58308,,,,,,,
Full-MAML,456,S14,20,0.5595,0.5595,0.5674616319915049,0.59582,,,,,,,
Full-MAML,456,S16,5,0.47551020408163264,0.5490957446808511,0.46605329989776745,0.5707021276595745,,,,,,,
Full-MAML,456,S16,10,0.4938775510204082,0.5479361702127659,0.515181941403601,0.5571276595744681,,,,,,,
Full-MAML,456,S16,20,0.5167832167832168,0.5412788120567377,0.563784924453279,0.5558067375886525,,,,,,,
Full-MAML,456,S17,5,0.5559999999999999,0.5944999999999999,0.5864546934582218,0.6651199999999999,,,,,,,
Full-MAML,456,S17,10,0.6186666666666667,0.626,0.6765665368905445,0.6916200000000001,,,,,,,
Full-MAML,456,S17,20,0.624,0.6085,0.6968111946627248,0.66684,,,,,,,
Full-MAML,456,S18,5,0.45272727272727264,0.547081881533101,0.48639253901073704,0.5768728222996515,,,,,,,
Full-MAML,456,S18,10,0.47850467289719634,0.5396247739602169,0.53511752783059,0.549638336347197,,,,,,,
Full-MAML,456,S18,20,0.5352941176470588,0.5431949806949807,0.61112330333267,0.5621138996138996,,,,,,,
Full-MAML,456,S20,5,0.5127906976744186,0.626117216117216,0.5477834586897794,0.6443223443223444,,,,,,,
Full-MAML,456,S20,10,0.5380952380952381,0.6206349206349205,0.589599693409007,0.6323507180650038,,,,,,,
Full-MAML,456,S20,20,0.5886075949367089,0.6211001642036125,0.6612690121741694,0.6531198686371099,,,,,,,
Full-MAML,456,S21,5,0.6689655172413793,0.7527777777777778,0.7812098716885951,0.874074074074074,,,,,,,
Full-MAML,456,S21,10,0.788888888888889,0.817,0.8692258052013553,0.9020000000000001,,,,,,,
Full-MAML,456,S21,20,0.8272727272727274,0.7250000000000001,0.8970059358891194,0.8875,,,,,,,
Full-MAML,456,S22,5,0.6479999999999999,0.6285714285714287,0.743633937581306,0.7154761904761904,,,,,,,
Full-MAML,456,S22,10,0.7521739130434781,0.6328947368421052,0.8432779218847329,0.7026315789473685,,,,,,,
Full-MAML,456,S22,20,0.7277777777777779,0.6375,0.8189152176048727,0.6857142857142857,,,,,,,
Full-MAML,456,S23,5,0.576,0.576,0.6191825173770074,0.5999000000000001,,,,,,,
Full-MAML,456,S23,10,0.5690000000000001,0.5690000000000001,0.5613428177818758,0.5825000000000001,,,,,,,
Full-MAML,456,S23,20,0.5922580645161291,0.5833636363636365,0.6592392258876683,0.6062000000000001,,,,,,,
Full-MAML,456,S24,5,0.5057142857142857,0.57075,0.527815000807695,0.6457499999999999,,,,,,,
Full-MAML,456,S24,10,0.5535714285714285,0.5945,0.6099411241356485,0.635,,,,,,,
Full-MAML,456,S24,20,0.5921428571428571,0.5930000000000001,0.6720775957427799,0.63515,,,,,,,
Full-MAML,456,S26,5,0.40192307692307694,0.48898847631242,0.35586359444864535,0.5554417413572343,,,,,,,
Full-MAML,456,S26,10,0.5,0.5316205533596838,0.5393333266010009,0.558102766798419,,,,,,,
Full-MAML,456,S26,20,0.5628865979381443,0.5571969696969697,0.6319208431754827,0.5667140151515152,,,,,,,
