method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
MAML-ANIL,456,S02,5,0.5496124031007751,0.5218566392479435,0.6432145142335686,0.5548178613396005,,,,,,,
MAML-ANIL,456,S02,10,0.5251968503937008,0.5066366366366366,0.6194788021999466,0.5354954954954955,,,,,,,
MAML-ANIL,456,S02,20,0.521311475409836,0.4870588235294117,0.6240311616038363,0.516248012718601,,,,,,,
MAML-ANIL,456,S06,5,0.6555555555555556,0.58975,0.778810971660594,0.5773750000000001,,,,,,,
MAML-ANIL,456,S06,10,0.6175925925925926,0.58075,0.7491459240465588,0.5823750000000001,,,,,,,
MAML-ANIL,456,S06,20,0.6027777777777777,0.59575,0.7363122257062291,0.61025,,,,,,,
MAML-ANIL,456,S07,5,0.6360360360360361,0.5689393939393939,0.7569880772916961,0.5892255892255893,,,,,,,
MAML-ANIL,456,S07,10,0.6137614678899083,0.5493127147766323,0.7381646136534883,0.5719931271477663,,,,,,,
MAML-ANIL,456,S07,20,0.6115384615384614,0.610144927536232,0.7348318804227555,0.6419384057971015,,,,,,,
MAML-ANIL,456,S11,5,0.604,0.604,0.6581589302957792,0.6565900000000001,,,,,,,
MAML-ANIL,456,S11,10,0.6311258278145695,0.6090882352941176,0.7076176218512932,0.6530980392156863,,,,,,,
MAML-ANIL,456,S11,20,0.6198675496688744,0.6111568627450981,0.6887236279857685,0.6342941176470589,,,,,,,
MAML-ANIL,456,S12,5,0.5359375,0.5520531400966183,0.4146053460724882,0.5896135265700483,,,,,,,
MAML-ANIL,456,S12,10,0.5081967213114755,0.5445736434108527,0.4300782315353594,0.5413436692506459,,,,,,,
MAML-ANIL,456,S12,20,0.5285714285714286,0.5736842105263158,0.4880857184497584,0.5814327485380117,,,,,,,
MAML-ANIL,456,S13,5,0.6005,0.6005,0.5902899931676935,0.62808,,,,,,,
MAML-ANIL,456,S13,10,0.603,0.603,0.6298882477645357,0.62254,,,,,,,
MAML-ANIL,456,S13,20,0.616,0.616,0.6386375696046043,0.63264,,,,,,,
MAML-ANIL,456,S14,5,0.548,0.548,0.5744755042721019,0.57317,,,,,,,
MAML-ANIL,456,S14,10,0.542,0.542,0.5748305155324936,0.56538,,,,,,,
MAML-ANIL,456,S14,20,0.546,0.546,0.5692355130506026,0.5801,,,,,,,
MAML-ANIL,456,S16,5,0.5163265306122449,0.5108723404255319,0.5903551298663071,0.5376170212765957,,,,,,,
MAML-ANIL,456,S16,10,0.508843537414966,0.5127021276595745,0.5792211608261515,0.5363191489361703,,,,,,,
MAML-ANIL,456,S16,20,0.5076923076923077,0.49867021276595747,0.5869174013463697,0.5355496453900709,,,,,,,
MAML-ANIL,456,S17,5,0.6106666666666667,0.5774999999999999,0.6952778155665686,0.64162,,,,,,,
MAML-ANIL,456,S17,10,0.6220000000000001,0.6034999999999999,0.6978477513732875,0.6746399999999999,,,,,,,
MAML-ANIL,456,S17,20,0.6113333333333333,0.5810000000000001,0.6960864167845024,0.6492600000000001,,,,,,,
MAML-ANIL,456,S18,5,0.5609090909090909,0.5373257839721254,0.6640857872797253,0.5501306620209059,,,,,,,
MAML-ANIL,456,S18,10,0.5224299065420559,0.5255650994575045,0.6137914620424274,0.5359403254972874,,,,,,,
MAML-ANIL,456,S18,20,0.5245098039215687,0.5168918918918919,0.6157667119898859,0.5397200772200772,,,,,,,
MAML-ANIL,456,S20,5,0.5627906976744186,0.5753846153846153,0.6487873209799963,0.6219780219780219,,,,,,,
MAML-ANIL,456,S20,10,0.5452380952380953,0.5714285714285714,0.626477042552975,0.6061980347694633,,,,,,,
MAML-ANIL,456,S20,20,0.5810126582278481,0.5916256157635469,0.6647657683527405,0.6358784893267652,,,,,,,
MAML-ANIL,456,S21,5,0.6310344827586207,0.8018518518518519,0.7470731307658367,0.8648148148148149,,,,,,,
MAML-ANIL,456,S21,10,0.6814814814814815,0.828,0.7892687654531999,0.882,,,,,,,
MAML-ANIL,456,S21,20,0.7000000000000001,0.835,0.8004283140431147,0.8875,,,,,,,
MAML-ANIL,456,S22,5,0.6319999999999999,0.5988095238095237,0.7245445975791978,0.6773809523809524,,,,,,,
MAML-ANIL,456,S22,10,0.6869565217391305,0.6328947368421052,0.7846572699513876,0.6723684210526316,,,,,,,
MAML-ANIL,456,S22,20,0.6722222222222223,0.6196428571428572,0.7712136752136751,0.6535714285714285,,,,,,,
MAML-ANIL,456,S23,5,0.556,0.5559999999999999,0.5797238283147728,0.58715,,,,,,,
MAML-ANIL,456,S23,10,0.5385,0.5385,0.51748712500337,0.5673900000000001,,,,,,,
MAML-ANIL,456,S23,20,0.6,0.5635909090909091,0.6892214460129479,0.5913454545454544,,,,,,,
MAML-ANIL,456,S24,5,0.6100000000000001,0.6024999999999999,0.6866297989222705,0.6368,,,,,,,
MAML-ANIL,456,S24,10,0.6135714285714287,0.6005,0.69881229642616,0.6307,,,,,,,
MAML-ANIL,456,S24,20,0.6214285714285716,0.603,0.7083742806852893,0.6243249999999999,,,,,,,
MAML-ANIL,456,S26,5,0.6,0.5902688860435339,0.6740373540907644,0.5833973538198891,,,,,,,
MAML-ANIL,456,S26,10,0.5911764705882352,0.5705533596837945,0.674922237182194,0.5699604743083004,,,,,,,
MAML-ANIL,456,S26,20,0.6030927835051546,0.5803267045454545,0.683588225897559,0.5826704545454546,,,,,,,
