method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Pretrain-FT,456,S02,5,0.553763440860215,0.5285087719298246,0.6375545851528385,0.5204678362573099,186,72,114,73,42,30,41
Pretrain-FT,456,S02,10,0.48333333333333334,0.5125342734038386,0.48044692737430167,0.5285285285285286,180,69,111,43,25,44,68
Pretrain-FT,456,S02,20,0.6176470588235294,0.6036261792452831,0.6829268292682927,0.6493219339622642,170,64,106,70,29,35,36
Pretrain-FT,456,S06,5,0.26811594202898553,0.5468920392584514,0.3803680981595092,0.5509814612868048,276,14,262,62,2,12,200
Pretrain-FT,456,S06,10,0.562962962962963,0.5545805545805546,0.7121951219512195,0.5984555984555985,270,11,259,146,5,6,113
Pretrain-FT,456,S06,20,0.5692307692307692,0.5354330708661417,0.7213930348258707,0.5787401574803149,260,6,254,145,3,3,109
Pretrain-FT,456,S07,5,0.285,0.5585262037776004,0.3470319634703196,0.5363128491620112,200,21,179,38,2,19,141
Pretrain-FT,456,S07,10,0.4690721649484536,0.5078914141414141,0.6113207547169811,0.5486111111111112,194,18,176,81,8,10,95
Pretrain-FT,456,S07,20,0.3423913043478261,0.4685110211426001,0.47619047619047616,0.5452091767881242,184,13,171,55,5,8,116
Pretrain-FT,456,S11,5,0.6229508196721312,0.6196341463414634,0.6916890080428955,0.648390243902439,305,100,205,129,39,61,76
Pretrain-FT,456,S11,10,0.7090301003344481,0.6238899663162192,0.8009153318077803,0.6798509747882004,299,97,202,175,60,37,27
Pretrain-FT,456,S11,20,0.5986159169550173,0.5984054292650629,0.6704545454545454,0.6574155815493269,289,92,197,118,37,55,79
Pretrain-FT,456,S12,5,0.4731182795698925,0.5371212121212121,0.5050505050505051,0.5151515151515151,93,60,33,25,41,19,8
Pretrain-FT,456,S12,10,0.4942528735632184,0.4956140350877193,0.40540540540540543,0.4912280701754386,87,57,30,15,29,28,15
Pretrain-FT,456,S12,20,0.4155844155844156,0.42192307692307696,0.3283582089552239,0.4246153846153846,77,52,25,11,31,21,14
Pretrain-FT,456,S13,5,0.5698924731182796,0.5709146968139773,0.4,0.6167523124357657,279,139,140,40,20,119,100
Pretrain-FT,456,S13,10,0.6043956043956044,0.6043902962644911,0.6058394160583942,0.6245169600686991,273,136,137,83,54,82,54
Pretrain-FT,456,S13,20,0.6197718631178707,0.619882026370576,0.609375,0.6430141105713625,263,131,132,78,46,85,54
Pretrain-FT,456,S14,5,0.592814371257485,0.5835524280853697,0.6582914572864321,0.6107717290442314,334,122,212,131,55,67,81
Pretrain-FT,456,S14,10,0.5304878048780488,0.5284467854127297,0.5925925925925926,0.5383378231675446,328,119,209,112,57,62,97
Pretrain-FT,456,S14,20,0.5251572327044025,0.5389576883384933,0.5698005698005698,0.5467406260749914,318,114,204,100,47,67,104
Pretrain-FT,456,S16,5,0.5480769230769231,0.5567765567765568,0.5480769230769231,0.5776275007044238,208,91,117,57,34,57,60
Pretrain-FT,456,S16,10,0.4306930693069307,0.42563795853269537,0.4796380090497738,0.4545454545454546,202,88,114,53,54,34,61
Pretrain-FT,456,S16,20,0.546875,0.5448767547253233,0.583732057416268,0.5695810765999779,192,83,109,61,39,44,48
Pretrain-FT,456,S17,5,0.41754385964912283,0.5148695841973153,0.3140495867768595,0.5407617592491542,285,98,187,38,17,81,149
Pretrain-FT,456,S17,10,0.6344086021505376,0.5726258581235698,0.734375,0.6259725400457666,279,95,184,141,59,36,43
Pretrain-FT,456,S17,20,0.5762081784386617,0.582122905027933,0.6392405063291139,0.5871508379888268,269,90,179,101,36,54,78
Pretrain-FT,456,S18,5,0.5575757575757576,0.46538072776280326,0.6893617021276596,0.4871967654986522,165,53,112,81,42,11,31
Pretrain-FT,456,S18,10,0.5911949685534591,0.5719266055045872,0.6766169154228856,0.5869724770642202,159,50,109,68,24,26,41
Pretrain-FT,456,S18,20,0.47651006711409394,0.4737179487179487,0.5617977528089888,0.4844017094017094,149,45,104,50,24,21,54
Pretrain-FT,456,S20,5,0.5378787878787878,0.45616211745244,0.6666666666666666,0.4320374965536256,132,39,93,61,29,10,32
Pretrain-FT,456,S20,10,0.5158730158730159,0.46944444444444444,0.6303030303030303,0.5203703703703704,126,36,90,52,23,13,38
Pretrain-FT,456,S20,20,0.5689655172413793,0.5316888045540797,0.6753246753246753,0.5146110056925997,116,31,85,52,17,14,33
Pretrain-FT,456,S21,5,0.32142857142857145,0.6545454545454545,0.4722222222222222,1.0,56,1,55,17,0,1,38
Pretrain-FT,456,S21,10,0.7884615384615384,0.7884615384615384,0.8817204301075269,,52,0,52,41,0,0,11
Pretrain-FT,456,S21,20,0.8085106382978723,0.8085106382978723,0.8941176470588236,,47,0,47,38,0,0,9
Pretrain-FT,456,S22,5,0.6363636363636364,0.7076923076923077,0.75,0.7794871794871794,44,5,39,24,1,4,15
Pretrain-FT,456,S22,10,0.5263157894736842,0.5138888888888888,0.6785714285714286,0.6805555555555556,38,2,36,19,1,1,17
Pretrain-FT,456,S22,20,0.6129032258064516,0.6129032258064516,0.76,,31,0,31,19,0,0,12
Pretrain-FT,456,S23,5,0.4166666666666667,0.49249431020289575,0.33460076045627374,0.4518909495908189,300,107,193,44,26,81,149
Pretrain-FT,456,S23,10,0.5340136054421769,0.5459008097165992,0.5835866261398176,0.5206477732793523,294,104,190,96,43,61,94
Pretrain-FT,456,S23,20,0.5809859154929577,0.5633360633360633,0.6590257879656161,0.5736827736827737,284,99,185,115,49,50,70
Pretrain-FT,456,S24,5,0.4169611307420495,0.5221075672295185,0.4169611307420495,0.4841776110068793,283,78,205,59,19,59,146
Pretrain-FT,456,S24,10,0.4187725631768953,0.5386138613861386,0.41025641025641024,0.5725412541254126,277,75,202,56,15,60,146
Pretrain-FT,456,S24,20,0.602996254681648,0.5467730239303843,0.7119565217391305,0.5717186366932558,267,70,197,131,40,30,66
Pretrain-FT,456,S26,5,0.4861111111111111,0.5255731922398589,0.3148148148148148,0.528904565941603,144,63,81,17,10,53,64
Pretrain-FT,456,S26,10,0.4927536231884058,0.49935897435897436,0.5,0.4767094017094017,138,60,78,35,27,33,43
Pretrain-FT,456,S26,20,0.5,0.5011207970112079,0.5294117647058824,0.4894146948941469,128,55,73,36,27,28,37
