method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Prototypical,456,S02,5,0.49749999999999994,0.49749999999999994,0.493127531106095,0.49450000000000005,,,,,,,
Prototypical,456,S02,10,0.5399999999999999,0.5399999999999999,0.4807563842037526,0.556,,,,,,,
Prototypical,456,S02,20,0.5349999999999999,0.5349999999999999,0.5435678046608812,0.5675,,,,,,,
Prototypical,456,S06,5,0.5441176470588236,0.5417857142857143,0.5641090393354775,0.5464285714285714,,,,,,,
Prototypical,456,S06,10,0.4935483870967742,0.49909090909090903,0.538240564977551,0.5159090909090909,,,,,,,
Prototypical,456,S06,20,0.5538461538461539,0.5349999999999999,0.6580796654326065,0.5383333333333333,,,,,,,
Prototypical,456,S07,5,0.4875,0.4875,0.5199259780290572,0.47575,,,,,,,
Prototypical,456,S07,10,0.6236842105263157,0.6202777777777777,0.6504496489347941,0.6583333333333333,,,,,,,
Prototypical,456,S07,20,0.6393939393939394,0.6365384615384616,0.6826274714126611,0.6773076923076924,,,,,,,
Prototypical,456,S11,5,0.5650000000000001,0.5650000000000001,0.48275686262726775,0.5864999999999999,,,,,,,
Prototypical,456,S11,10,0.5675000000000001,0.5675000000000001,0.597951411669947,0.5735,,,,,,,
Prototypical,456,S11,20,0.6024999999999999,0.6025,0.5833296100561824,0.6652499999999999,,,,,,,
Prototypical,456,S12,5,0.4774999999999999,0.47750000000000004,0.46094223237852444,0.5045,,,,,,,
Prototypical,456,S12,10,0.4999999999999999,0.4999999999999999,0.4696405429230065,0.49175,,,,,,,
Prototypical,456,S12,20,0.5349999999999999,0.5349999999999999,0.5518956993478494,0.5614999999999999,,,,,,,
Prototypical,456,S13,5,0.5375,0.5375,0.5361218709792854,0.5795000000000001,,,,,,,
Prototypical,456,S13,10,0.5525,0.5525,0.5619240618004195,0.5850000000000001,,,,,,,
Prototypical,456,S13,20,0.61,0.61,0.640758493798564,0.6695,,,,,,,
Prototypical,456,S14,5,0.495,0.495,0.4849691977006077,0.54,,,,,,,
Prototypical,456,S14,10,0.5800000000000001,0.5800000000000001,0.5708336773346161,0.59525,,,,,,,
Prototypical,456,S14,20,0.56,0.56,0.5709368840189343,0.56775,,,,,,,
Prototypical,456,S16,5,0.5125000000000001,0.5125000000000001,0.5347855932123479,0.54325,,,,,,,
Prototypical,456,S16,10,0.55,0.55,0.5698844866291449,0.5427500000000001,,,,,,,
Prototypical,456,S16,20,0.605,0.605,0.6073095471085169,0.616,,,,,,,
Prototypical,456,S17,5,0.6875,0.6875,0.6796820795247608,0.73075,,,,,,,
Prototypical,456,S17,10,0.7100000000000001,0.7100000000000001,0.6999385279179617,0.7415,,,,,,,
Prototypical,456,S17,20,0.7125000000000001,0.7125000000000001,0.7013550079243112,0.77325,,,,,,,
Prototypical,456,S18,5,0.5700000000000001,0.57,0.566838659174216,0.57975,,,,,,,
Prototypical,456,S18,10,0.53,0.53,0.5200003253731025,0.54575,,,,,,,
Prototypical,456,S18,20,0.5025000000000001,0.5025000000000001,0.4945259185259186,0.5042500000000001,,,,,,,
Prototypical,456,S20,5,0.4999999999999999,0.4999999999999999,0.4956940820120135,0.48349999999999993,,,,,,,
Prototypical,456,S20,10,0.6074999999999999,0.6074999999999999,0.6096715492273155,0.6355000000000001,,,,,,,
Prototypical,456,S20,20,0.5999999999999999,0.6,0.6165062229076016,0.6305000000000001,,,,,,,
Prototypical,456,S21,5,0.5333333333333334,0.4700000000000001,0.6552765637751408,0.4450000000000001,,,,,,,
Prototypical,456,S21,10,0.6333333333333334,0.38,0.7676312354136183,0.4600000000000001,,,,,,,
Prototypical,456,S21,20,0.6761904761904762,0.45,0.7988119183590072,0.45999999999999996,,,,,,,
Prototypical,456,S22,5,0.5840000000000001,0.4925,0.7017058865032323,0.46099999999999997,,,,,,,
Prototypical,456,S22,10,0.4499999999999999,0.42750000000000005,0.5830974980864743,0.43999999999999995,,,,,,,
Prototypical,456,S22,20,0.5047619047619047,0.40750000000000003,0.6511534701857283,0.41500000000000004,,,,,,,
Prototypical,456,S23,5,0.5375,0.5375,0.49586003573849,0.5445,,,,,,,
Prototypical,456,S23,10,0.5149999999999999,0.5149999999999999,0.4962972965719185,0.512,,,,,,,
Prototypical,456,S23,20,0.5725,0.5725,0.5851868154534066,0.5907500000000001,,,,,,,
Prototypical,456,S24,5,0.6024999999999999,0.6024999999999999,0.6113361507231131,0.6505,,,,,,,
Prototypical,456,S24,10,0.6125,0.6125,0.6230954615165248,0.662,,,,,,,
Prototypical,456,S24,20,0.6625000000000001,0.6625,0.6840076166732805,0.71125,,,,,,,
Prototypical,456,S26,5,0.56,0.56,0.5565446470545095,0.5710000000000001,,,,,,,
Prototypical,456,S26,10,0.5025,0.5025,0.4833231765416734,0.514,,,,,,,
Prototypical,456,S26,20,0.6025,0.6025,0.5982595147133056,0.6332500000000001,,,,,,,
