method,seed,subject_id,k_shots,accuracy,balanced_accuracy,f1_score,auroc,n_samples,n_class_0,n_class_1,tp,fp,tn,fn
Reptile,456,S02,5,0.5147286821705427,0.573340188014101,0.5593596347435879,0.6337544065804935,,,,,,,
Reptile,456,S02,10,0.5614173228346456,0.575960960960961,0.6346436320954257,0.6095495495495495,,,,,,,
Reptile,456,S02,20,0.5991803278688526,0.5849125596184419,0.6826990339715008,0.6143084260731319,,,,,,,
Reptile,456,S06,5,0.4666666666666666,0.5740000000000001,0.6065600407093473,0.5583750000000001,,,,,,,
Reptile,456,S06,10,0.5601851851851851,0.4749999999999999,0.7037370031842484,0.5068750000000001,,,,,,,
Reptile,456,S06,20,0.587962962962963,0.51875,0.7268834647770387,0.5479999999999999,,,,,,,
Reptile,456,S07,5,0.5864864864864866,0.6217171717171718,0.711627809440895,0.6606902356902358,,,,,,,
Reptile,456,S07,10,0.6688073394495413,0.5948453608247423,0.783841047852683,0.6395189003436427,,,,,,,
Reptile,456,S07,20,0.7086538461538462,0.6360507246376812,0.8150092381700634,0.679800724637681,,,,,,,
Reptile,456,S11,5,0.638,0.638,0.6376708086922196,0.69169,,,,,,,
Reptile,456,S11,10,0.5920529801324502,0.6372352941176469,0.614281599054802,0.7173529411764705,,,,,,,
Reptile,456,S11,20,0.642384105960265,0.660343137254902,0.6890109987991809,0.7171372549019608,,,,,,,
Reptile,456,S12,5,0.4734375,0.5931159420289854,0.48138685472599524,0.6378019323671498,,,,,,,
Reptile,456,S12,10,0.5573770491803278,0.6359819121447028,0.5196380398011454,0.6600775193798449,,,,,,,
Reptile,456,S12,20,0.5660714285714287,0.618859649122807,0.5300754211498923,0.6371345029239766,,,,,,,
Reptile,456,S13,5,0.61,0.61,0.6297797145177362,0.64256,,,,,,,
Reptile,456,S13,10,0.616,0.616,0.6414838339795372,0.66394,,,,,,,
Reptile,456,S13,20,0.6199999999999999,0.6199999999999999,0.6326967272175092,0.6654599999999999,,,,,,,
Reptile,456,S14,5,0.581,0.5810000000000001,0.6186173629680607,0.62214,,,,,,,
Reptile,456,S14,10,0.5905,0.5905,0.6243102138481434,0.6278400000000002,,,,,,,
Reptile,456,S14,20,0.5725,0.5725,0.601263440096966,0.61833,,,,,,,
Reptile,456,S16,5,0.507482993197279,0.5483510638297873,0.5400947991141413,0.5916170212765957,,,,,,,
Reptile,456,S16,10,0.5489795918367346,0.5602446808510639,0.6136227138737399,0.5933829787234043,,,,,,,
Reptile,456,S16,20,0.5902097902097903,0.5791334219858156,0.6653191948081417,0.6140735815602837,,,,,,,
Reptile,456,S17,5,0.6666666666666667,0.687,0.7132418077584225,0.75064,,,,,,,
Reptile,456,S17,10,0.692,0.7044999999999999,0.741556535393105,0.76494,,,,,,,
Reptile,456,S17,20,0.6886666666666666,0.6765,0.7521900083064511,0.7400800000000001,,,,,,,
Reptile,456,S18,5,0.43636363636363634,0.557273519163763,0.44892205434282734,0.5666811846689896,,,,,,,
Reptile,456,S18,10,0.4831775700934579,0.5600813743218807,0.5281633576756368,0.5763110307414104,,,,,,,
Reptile,456,S18,20,0.5,0.5499517374517375,0.5588055002745594,0.5888513513513514,,,,,,,
Reptile,456,S20,5,0.4848837209302325,0.5641391941391941,0.5380910410956953,0.6361172161172162,,,,,,,
Reptile,456,S20,10,0.5321428571428573,0.5738095238095238,0.6087985766188055,0.6159486016628873,,,,,,,
Reptile,456,S20,20,0.6037974683544303,0.6041050903119869,0.6887595148483339,0.6422003284072251,,,,,,,
Reptile,456,S21,5,0.6620689655172415,0.725925925925926,0.7744340073497404,0.8166666666666667,,,,,,,
Reptile,456,S21,10,0.762962962962963,0.8030000000000002,0.8534098263953499,0.8559999999999999,,,,,,,
Reptile,456,S21,20,0.8181818181818181,0.72,0.8929519397940451,0.8550000000000001,,,,,,,
Reptile,456,S22,5,0.596,0.5672619047619049,0.7060958831353569,0.5738095238095238,,,,,,,
Reptile,456,S22,10,0.6521739130434783,0.5427631578947368,0.7664478510028989,0.5644736842105262,,,,,,,
Reptile,456,S22,20,0.6777777777777778,0.6053571428571428,0.7768630513802928,0.6196428571428572,,,,,,,
Reptile,456,S23,5,0.5625,0.5625,0.5933196416073552,0.58454,,,,,,,
Reptile,456,S23,10,0.5705,0.5705000000000001,0.6117816186689168,0.58755,,,,,,,
Reptile,456,S23,20,0.5748387096774195,0.5702727272727273,0.6379978002962634,0.6003999999999999,,,,,,,
Reptile,456,S24,5,0.5564285714285715,0.59575,0.617103324037373,0.641225,,,,,,,
Reptile,456,S24,10,0.6114285714285714,0.6170000000000001,0.6885592726677294,0.6517,,,,,,,
Reptile,456,S24,20,0.615,0.58875,0.706310976970542,0.617,,,,,,,
Reptile,456,S26,5,0.475,0.5376440460947504,0.4870933061641834,0.5633802816901409,,,,,,,
Reptile,456,S26,10,0.5392156862745099,0.5748353096179183,0.5806882122482153,0.5901185770750988,,,,,,,
Reptile,456,S26,20,0.5412371134020618,0.5481297348484848,0.6001860314386023,0.5703125,,,,,,,
