method,K=5,K=10,K=20,AUROC@5
EEGNet,0.600±0.009,0.628±0.004,0.645±0.011,0.640
Reptile,0.594±0.002,0.600±0.003,0.607±0.003,0.637
SubjectConditioned,0.584±0.007,0.584±0.009,0.587±0.013,0.617
Full-MAML,0.584±0.009,0.590±0.011,0.590±0.008,0.625
MAML-ANIL,0.581±0.013,0.580±0.015,0.585±0.015,0.614
Prototypical,0.536±0.005,0.553±0.009,0.569±0.002,0.548
Matching,0.535±0.002,0.527±0.003,0.542±0.022,0.546
CovarianceAlignment,0.526±0.026,0.546±0.025,0.562±0.020,0.524
Riemannian,0.517±0.015,0.561±0.026,0.541±0.040,0.542
Pretrain-ZeroShot,0.563±0.007,0.563±0.007,0.563±0.007,0.601
Pretrain-FT,0.537±0.014,0.542±0.012,0.544±0.018,0.563
Supervised,0.527±0.034,0.563±0.015,0.577±0.004,0.538
